"Station Name","BARRIE-ORO"
"Province","ONTARIO"
"Current Station Operator","Environment and Climate Change Canada - Meteorological Service of Canada"
"Latitude","44.48"
"Longitude","-79.55"
"Elevation","289.00"
"Climate Identifier","6117700"
"WMO Identifier","71314"
"TC Identifier","XBI"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-06-01 00:00","2018","06","01","00:00","20.0","","18.8","","93","","20","","5","","","","97.26","","27","","","","NA"
"2018-06-01 01:00","2018","06","01","01:00","18.1","","16.9","","93","","15","","1","","","","97.24","","","","","","NA"
"2018-06-01 02:00","2018","06","01","02:00","17.8","","16.9","","94","","13","","2","","","","97.24","","","","","","NA"
"2018-06-01 03:00","2018","06","01","03:00","18.9","","18.0","","94","","24","","4","","","","97.27","","","","","","NA"
"2018-06-01 04:00","2018","06","01","04:00","19.8","","18.6","","93","","26","","12","","","","97.29","","","","","","NA"
"2018-06-01 05:00","2018","06","01","05:00","19.7","","18.4","","92","","5","","5","","","","97.29","","","","","","NA"
"2018-06-01 06:00","2018","06","01","06:00","19.7","","18.7","","94","","32","","1","","","","97.33","","","","","","NA"
"2018-06-01 07:00","2018","06","01","07:00","19.9","","17.8","","88","","29","","14","","","","97.41","","","","","","NA"
"2018-06-01 08:00","2018","06","01","08:00","18.9","","17.4","","91","","29","","13","","","","97.46","","","","","","NA"
"2018-06-01 09:00","2018","06","01","09:00","20.6","","18.6","","88","","34","","11","","","","97.50","","27","","","","NA"
"2018-06-01 10:00","2018","06","01","10:00","22.1","","18.3","","79","","32","","13","","","","97.51","","28","","","","NA"
"2018-06-01 11:00","2018","06","01","11:00","21.4","","18.1","","82","","27","","15","","","","97.57","","27","","","","NA"
"2018-06-01 12:00","2018","06","01","12:00","23.1","","18.7","","76","","28","","14","","","","97.57","","30","","","","NA"
"2018-06-01 13:00","2018","06","01","13:00","23.7","","18.3","","72","","28","","17","","","","97.53","","30","","","","NA"
"2018-06-01 14:00","2018","06","01","14:00","23.7","","18.4","","72","","28","","23","","","","97.53","","30","","","","NA"
"2018-06-01 15:00","2018","06","01","15:00","23.3","","17.8","","71","","29","","24","","","","97.57","","29","","","","NA"
"2018-06-01 16:00","2018","06","01","16:00","23.0","","17.2","","70","","29","","25","","","","97.59","","28","","","","NA"
"2018-06-01 17:00","2018","06","01","17:00","22.4","","17.1","","72","","33","","18","","","","97.61","","28","","","","NA"
"2018-06-01 18:00","2018","06","01","18:00","21.2","","15.6","","70","","31","","13","","","","97.64","","26","","","","NA"
"2018-06-01 19:00","2018","06","01","19:00","19.6","","14.7","","73","","32","","12","","","","97.72","","","","","","NA"
"2018-06-01 20:00","2018","06","01","20:00","17.0","","13.8","","82","","28","","9","","","","97.74","","","","","","NA"
"2018-06-01 21:00","2018","06","01","21:00","17.5","","12.9","","74","","1","","17","","","","97.83","","","","","","NA"
"2018-06-01 22:00","2018","06","01","22:00","15.0","","10.9","","77","","35","","21","","","","97.90","","","","","","NA"
"2018-06-01 23:00","2018","06","01","23:00","14.1","","10.5","","79","","1","","20","","","","97.94","","","","","","NA"
"2018-06-02 00:00","2018","06","02","00:00","13.1","","10.1","","82","","2","","21","","","","97.95","","","","","","NA"
"2018-06-02 01:00","2018","06","02","01:00","12.6","","9.6","","82","","1","","13","","","","98.01","","","","","","NA"
"2018-06-02 02:00","2018","06","02","02:00","12.5","","9.5","","82","","3","","14","","","","98.02","","","","","","NA"
"2018-06-02 03:00","2018","06","02","03:00","12.0","","9.0","","82","","2","","15","","","","98.05","","","","","","NA"
"2018-06-02 04:00","2018","06","02","04:00","11.4","","8.6","","83","","3","","15","","","","98.06","","","","","","NA"
