"Station Name","LONDON CS"
"Province","ONTARIO"
"Current Station Operator","Environment and Climate Change Canada - Meteorological Service of Canada"
"Latitude","43.03"
"Longitude","-81.15"
"Elevation","278.00"
"Climate Identifier","6144478"
"WMO Identifier","71622"
"TC Identifier","WSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-12-01 00:00","2018","12","01","00:00","-0.5","","-1.2","","95","","","M","","M","","","98.67","","","","","","NA"
"2018-12-01 01:00","2018","12","01","01:00","-1.1","","-1.6","","97","","","M","","M","","","98.65","","","","","","NA"
"2018-12-01 02:00","2018","12","01","02:00","-1.3","","-1.8","","97","","","M","","M","","","98.67","","","","","","NA"
"2018-12-01 03:00","2018","12","01","03:00","-1.2","","-1.6","","97","","","M","","M","","","98.73","","","","","","NA"
"2018-12-01 04:00","2018","12","01","04:00","-0.7","","-1.4","","95","","","M","","M","","","98.70","","","","","","NA"
"2018-12-01 05:00","2018","12","01","05:00","-0.7","","-1.4","","95","","","M","","M","","","98.67","","","","","","NA"
"2018-12-01 06:00","2018","12","01","06:00","-0.7","","-1.6","","93","","","M","","M","","","98.66","","","","","","NA"
"2018-12-01 07:00","2018","12","01","07:00","-0.4","","-1.6","","92","","","M","","M","","","98.61","","","","","","NA"
"2018-12-01 08:00","2018","12","01","08:00","-0.2","","-1.5","","91","","","M","","M","","","98.54","","","","","","NA"
"2018-12-01 09:00","2018","12","01","09:00","0.0","","-1.5","","89","","","M","","M","","","98.47","","","","","","NA"
"2018-12-01 10:00","2018","12","01","10:00","0.5","","-1.3","","88","","","M","","M","","","98.49","","","","","","NA"
"2018-12-01 11:00","2018","12","01","11:00","0.8","","-1.2","","87","","","M","","M","","","98.40","","","","","","NA"
"2018-12-01 12:00","2018","12","01","12:00","0.6","","-1.1","","88","","","M","","M","","","98.30","","","","","","NA"
"2018-12-01 13:00","2018","12","01","13:00","0.8","","-1.1","","87","","","M","","M","","","98.14","","","","","","NA"
"2018-12-01 14:00","2018","12","01","14:00","1.1","","-1.1","","85","","","M","","M","","","97.94","","","","","","NA"
"2018-12-01 15:00","2018","12","01","15:00","1.2","","-0.8","","86","","","M","","M","","","97.87","","","","","","NA"
"2018-12-01 16:00","2018","12","01","16:00","0.8","","-0.7","","90","","","M","","M","","","97.79","","","","","","NA"
"2018-12-01 17:00","2018","12","01","17:00","1.0","","-0.3","","90","","","M","","M","","","97.77","","","","","","NA"
"2018-12-01 18:00","2018","12","01","18:00","1.1","","-0.1","","92","","","M","","M","","","97.72","","","","","","NA"
"2018-12-01 19:00","2018","12","01","19:00","1.0","","0.3","","95","","","M","","M","","","97.59","","","","","","NA"
"2018-12-01 20:00","2018","12","01","20:00","1.3","","0.5","","94","","","M","","M","","","97.43","","","","","","NA"
"2018-12-01 21:00","2018","12","01","21:00","1.5","","0.8","","95","","","M","","M","","","97.36","","","","","","NA"
"2018-12-01 22:00","2018","12","01","22:00","1.7","","1.1","","96","","","M","","M","","","97.31","","","","","","NA"
"2018-12-01 23:00","2018","12","01","23:00","1.7","","1.2","","96","","","M","","M","","","97.19","","","","","","NA"
"2018-12-02 00:00","2018","12","02","00:00","1.9","","1.3","","96","","","M","","M","","","97.08","","","","","","NA"
"2018-12-02 01:00","2018","12","02","01:00","2.2","","1.6","","96","","","M","","M","","","97.00","","","","","","NA"
"2018-12-02 02:00","2018","12","02","02:00","2.6","","2.2","","97","","","M","","M","","","96.87","","","","","","NA"
"2018-12-02 03:00","2018","12","02","03:00","3.1","","2.6","","97","","","M","","M","","","96.80","","","","","","NA"
"2018-12-02 04:00","2018","12","02","04:00","3.9","","3.3","","96","","","M","","M","","","96.71","","","","","","NA"
"2018-12-02 05:00","2018","12","02","05:00","4.2","","3.7","","97","","","M","","M","","","96.66","","","","","","NA"
"2018-12-02 06:00","2018","12","02","06:00","4.8","","4.3","","97","","","M","","M","","","96.60","","","","","","NA"
"2018-12-02 07:00","2018","12","02","07:00","5.5","","5.0","","97","","","M","","M","","","96.56","","","","","","NA"
"2018-12-02 08:00","2018","12","02","08:00","6.1","","5.6","","97","","","M","","M","","","96.51","","","","","","NA"
"2018-12-02 09:00","2018","12","02","09:00","7.6","","7.2","","97","","","M","","M","","","96.51","","","","","","NA"
"2018-12-02 10:00","2018","12","02","10:00","9.0","","8.5","","97","","","M","","M","","","96.51","","","","","","NA"
"2018-12-02 11:00","2018","12","02","11:00","10.5","","9.6","","95","","","M","","M","","","96.51","","","","","","NA"
"2018-12-02 12:00","2018","12","02","12:00","11.8","","10.1","","89","","","M","","M","","","96.49","","","","","","NA"
