"Station Name","SUDBURY A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","46.63"
"Longitude","-80.80"
"Elevation","348.40"
"Climate Identifier","6068153"
"WMO Identifier","71730"
"TC Identifier","YSB"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-09-01 00:00","2018","09","01","00:00","13.6","","12.5","","93","","17","","9","","24.1","","97.89","","","","","","NA"
"2018-09-01 01:00","2018","09","01","01:00","13.8","","12.6","","92","","16","","12","","24.1","","97.86","","","","","","Mostly Cloudy"
"2018-09-01 02:00","2018","09","01","02:00","13.9","","12.6","","92","","15","","15","","24.1","","97.80","","","","","","NA"
"2018-09-01 03:00","2018","09","01","03:00","13.7","","13.1","","96","","15","","16","","24.1","","97.78","","","","","","NA"
"2018-09-01 04:00","2018","09","01","04:00","14.0","","13.6","","98","","16","","17","","16.1","","97.71","","","","","","Mostly Cloudy"
"2018-09-01 05:00","2018","09","01","05:00","14.3","","14.0","","98","","16","","17","","3.2","","97.69","","","","","","Fog"
"2018-09-01 06:00","2018","09","01","06:00","15.2","","14.9","","98","","16","","16","","3.2","","97.70","","","","","","Fog"
"2018-09-01 07:00","2018","09","01","07:00","15.6","","15.4","","98","","17","","18","","2.4","","97.70","","","","","","Fog"
"2018-09-01 08:00","2018","09","01","08:00","17.9","","16.2","","90","","19","","19","","9.7","","97.70","","","","","","Fog"
"2018-09-01 09:00","2018","09","01","09:00","17.8","","16.5","","92","","19","","18","","19.3","","97.72","","","","","","Thunderstorms,Rain Showers"
"2018-09-01 10:00","2018","09","01","10:00","18.0","","17.3","","96","","17","","12","","24.1","","97.72","","","","","","Cloudy"
"2018-09-01 11:00","2018","09","01","11:00","20.9","","18.5","","86","","18","","27","","32.2","","97.65","","27","","","","NA"
"2018-09-01 12:00","2018","09","01","12:00","19.9","","17.9","","88","","17","","24","","24.1","","97.67","","","","","","NA"
"2018-09-01 13:00","2018","09","01","13:00","20.3","","18.5","","89","","19","","20","","24.1","","97.61","","27","","","","Cloudy"
"2018-09-01 14:00","2018","09","01","14:00","20.7","","19.0","","90","","19","","22","","19.3","","97.57","","27","","","","NA"
"2018-09-01 15:00","2018","09","01","15:00","21.1","","19.5","","90","","19","","27","","16.1","","97.49","","28","","","","Rain Showers"
"2018-09-01 16:00","2018","09","01","16:00","21.8","","19.9","","89","","19","","18","","16.1","","97.50","","29","","","","Rain Showers"
"2018-09-01 17:00","2018","09","01","17:00","21.6","","20.1","","91","","19","","13","","16.1","","97.46","","29","","","","NA"
"2018-09-01 18:00","2018","09","01","18:00","21.5","","20.2","","92","","18","","14","","16.1","","97.47","","29","","","","NA"
"2018-09-01 19:00","2018","09","01","19:00","21.0","","20.0","","94","","17","","21","","16.1","","97.44","","29","","","","Mostly Cloudy"
"2018-09-01 20:00","2018","09","01","20:00","20.5","","20.0","","97","","20","","14","","8.1","","97.52","","28","","","","Rain Showers,Fog"
"2018-09-01 21:00","2018","09","01","21:00","20.3","","19.9","","98","","21","","9","","8.1","","97.52","","28","","","","Rain Showers,Fog"
"2018-09-01 22:00","2018","09","01","22:00","20.2","","19.9","","98","","21","","12","","4.8","","97.52","","28","","","","Rain Showers,Fog"
"2018-09-01 23:00","2018","09","01","23:00","19.9","","19.7","","98","","23","","9","","2.4","","97.49","","","","","","Fog"
"2018-09-02 00:00","2018","09","02","00:00","20.1","","19.9","","98","","21","","14","","4.8","","97.53","","28","","","","Fog"
"2018-09-02 01:00","2018","09","02","01:00","20.0","","19.7","","98","","24","","9","","4.8","","97.55","","27","","","","Fog"
"2018-09-02 02:00","2018","09","02","02:00","19.7","","19.4","","98","","20","","8","","4.8","","97.52","","","","","","Fog"
"2018-09-02 03:00","2018","09","02","03:00","19.6","","19.3","","98","","17","","10","","0.8","","97.52","","","","","","Fog"
"2018-09-02 04:00","2018","09","02","04:00","19.4","","19.1","","98","","22","","9","","0.4","","97.52","","","","","","Fog"
"2018-09-02 05:00","2018","09","02","05:00","19.2","","18.9","","98","","20","","11","","0.4","","97.57","","","","","","Fog"
"2018-09-02 06:00","2018","09","02","06:00","19.0","","18.8","","98","","20","","11","","0.4","","97.64","","","","","","Fog"
"2018-09-02 07:00","2018","09","02","07:00","19.1","","18.8","","98","","20","","10","","0.4","","97.68","","","","","","Fog"
"2018-09-02 08:00","2018","09","02","08:00","19.4","","19.2","","99","","22","","9","","0.4","","97.70","","","","","","Fog"
"2018-09-02 09:00","2018","09","02","09:00","20.0","","19.8","","99","","22","","13","","1.2","","97.70","","27","","","","Fog"
"2018-09-02 10:00","2018","09","02","10:00","21.1","","19.9","","93","","21","","11","","8.1","","97.66","","29","","","","Fog"
"2018-09-02 11:00","2018","09","02","11:00","23.6","","19.4","","77","","22","","10","","32.2","","97.61","","31","","","","NA"
"2018-09-02 12:00","2018","09","02","12:00","24.7","","19.7","","73","","27","","7","","32.2","","97.57","","32","","","","NA"
"2018-09-02 13:00","2018","09","02","13:00","25.7","","19.7","","69","","17","","11","","32.2","","97.51","","33","","","","Mostly Cloudy"
"2018-09-02 14:00","2018","09","02","14:00","24.6","","20.0","","75","","19","","26","","32.2","","97.55","","32","","","","NA"
"2018-09-02 15:00","2018","09","02","15:00","26.1","","19.4","","66","","20","","22","","32.2","","97.53","","33","","","","NA"
"2018-09-02 16:00","2018","09","02","16:00","25.4","","19.5","","70","","19","","28","","32.2","","97.55","","33","","","","Mostly Cloudy"
"2018-09-02 17:00","2018","09","02","17:00","23.5","","19.1","","76","","19","","23","","32.2","","97.55","","30","","","","NA"
"2018-09-02 18:00","2018","09","02","18:00","22.6","","19.0","","80","","21","","19","","32.2","","97.55","","29","","","","NA"
"2018-09-02 19:00","2018","09","02","19:00","21.6","","19.3","","87","","20","","15","","32.2","","97.55","","29","","","","Mostly Cloudy"
"2018-09-02 20:00","2018","09","02","20:00","20.9","","19.4","","91","","18","","15","","24.1","","97.56","","28","","","","NA"
"2018-09-02 21:00","2018","09","02","21:00","20.2","","19.3","","94","","18","","21","","24.1","","97.60","","27","","","","NA"
"2018-09-02 22:00","2018","09","02","22:00","19.8","","19.2","","96","","20","","14","","24.1","","97.61","","","","","","Cloudy"
"2018-09-02 23:00","2018","09","02","23:00","19.5","","19.0","","97","","20","","16","","24.1","","97.58","","","","","","NA"
"2018-09-03 00:00","2018","09","03","00:00","19.5","","19.0","","97","","20","","16","","24.1","","97.55","","","","","","NA"
"2018-09-03 01:00","2018","09","03","01:00","19.9","","19.2","","96","","20","","13","","24.1","","97.56","","","","","","Rain Showers"
"2018-09-03 02:00","2018","09","03","02:00","19.7","","19.3","","97","","19","","14","","24.1","","97.57","","","","","","Rain Showers"
"2018-09-03 03:00","2018","09","03","03:00","19.5","","19.1","","98","","22","","7","","8.1","","97.52","","","","","","Rain Showers,Fog"
"2018-09-03 04:00","2018","09","03","04:00","19.6","","19.3","","98","","25","","8","","4.8","","97.50","","","","","","Rain Showers,Fog"
"2018-09-03 05:00","2018","09","03","05:00","19.5","","19.3","","98","","21","","7","","1.2","","97.56","","","","","","Rain Showers,Fog"
"2018-09-03 06:00","2018","09","03","06:00","20.0","","19.8","","98","","24","","12","","1.2","","97.64","","27","","","","Fog"
"2018-09-03 07:00","2018","09","03","07:00","20.3","","20.0","","98","","23","","11","","4.8","","97.71","","28","","","","Fog"
"2018-09-03 08:00","2018","09","03","08:00","20.7","","20.2","","97","","25","","11","","12.9","","97.79","","28","","","","NA"
"2018-09-03 09:00","2018","09","03","09:00","21.7","","20.1","","91","","25","","16","","32.2","","97.84","","29","","","","NA"
"2018-09-03 10:00","2018","09","03","10:00","22.7","","19.4","","81","","27","","12","","32.2","","97.84","","30","","","","Cloudy"
"2018-09-03 11:00","2018","09","03","11:00","23.2","","18.0","","72","","28","","16","","32.2","","97.90","","29","","","","NA"
"2018-09-03 12:00","2018","09","03","12:00","25.3","","16.8","","59","","26","","18","","32.2","","97.93","","30","","","","NA"
"2018-09-03 13:00","2018","09","03","13:00","24.4","","15.3","","56","","31","","17","","32.2","","97.97","","29","","","","Mostly Cloudy"
"2018-09-03 14:00","2018","09","03","14:00","23.4","","14.8","","58","","28","","16","","32.2","","98.00","","27","","","","NA"
"2018-09-03 15:00","2018","09","03","15:00","24.6","","15.1","","55","","25","","12","","32.2","","97.98","","29","","","","NA"
"2018-09-03 16:00","2018","09","03","16:00","24.1","","14.6","","55","","23","","9","","32.2","","98.00","","28","","","","Mostly Cloudy"
"2018-09-03 17:00","2018","09","03","17:00","23.9","","15.8","","60","","24","","10","","32.2","","98.05","","28","","","","NA"
"2018-09-03 18:00","2018","09","03","18:00","22.6","","16.0","","66","","27","","8","","32.2","","98.11","","27","","","","NA"
"2018-09-03 19:00","2018","09","03","19:00","20.8","","14.0","","65","","29","","8","","32.2","","98.17","","","","","","Mostly Cloudy"
