"Station Name","SUDBURY A"
"Province","ONTARIO"
"Latitude","46.63"
"Longitude","-80.80"
"Elevation","348.40"
"Climate Identifier","6068153"
"WMO Identifier","71730"
"TC Identifier","YSB"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-10-01 00:00","2017","10","01","00:00","4.6","","2.8","","88","","24","","7","","24.1","","98.61","","","","","","NA"
"2017-10-01 01:00","2017","10","01","01:00","3.8","","2.5","","91","","21","","8","","24.1","","98.60","","","","","","Clear"
"2017-10-01 02:00","2017","10","01","02:00","4.0","","3.0","","93","","23","","8","","24.1","","98.59","","","","","","NA"
"2017-10-01 03:00","2017","10","01","03:00","3.8","","3.1","","95","","24","","10","","24.1","","98.59","","","","","","NA"
"2017-10-01 04:00","2017","10","01","04:00","3.4","","2.9","","97","","22","","9","","24.1","","98.60","","","","","","Clear"
"2017-10-01 05:00","2017","10","01","05:00","4.0","","3.6","","98","","23","","9","","24.1","","98.59","","","","","","NA"
"2017-10-01 06:00","2017","10","01","06:00","3.8","","3.5","","98","","23","","10","","24.1","","98.59","","","","","","NA"
"2017-10-01 07:00","2017","10","01","07:00","3.3","","3.0","","98","","22","","9","","0.8","","98.60","","","","","","Fog"
"2017-10-01 08:00","2017","10","01","08:00","6.5","","6.2","","99","","24","","7","","24.1","","98.61","","","","","","NA"
"2017-10-01 09:00","2017","10","01","09:00","9.1","","8.1","","94","","23","","8","","32.2","","98.61","","","","","","NA"
"2017-10-01 10:00","2017","10","01","10:00","13.1","","9.4","","78","","24","","10","","32.2","","98.62","","","","","","Mainly Clear"
"2017-10-01 11:00","2017","10","01","11:00","14.2","","6.6","","60","","27","","21","","32.2","","98.57","","","","","","NA"
