"Station Name","THUNDER BAY A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","48.37"
"Longitude","-89.32"
"Elevation","199.30"
"Climate Identifier","6048262"
"WMO Identifier",""
"TC Identifier","YQT"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-09-01 00:00","2018","09","01","00:00","17.3","","17.3","","100","","7","","28","","4.8","","98.08","","","","","","Thunderstorms,Rain Showers,Fog"
"2018-09-01 01:00","2018","09","01","01:00","17.4","","17.4","","100","","30","","5","","8.1","","98.41","","","","","","Fog"
"2018-09-01 02:00","2018","09","01","02:00","16.6","","16.6","","100","","24","","6","","12.9","","98.49","","","","","","NA"
"2018-09-01 03:00","2018","09","01","03:00","16.7","","16.7","","100","","36","","2","","12.9","","98.42","","","","","","NA"
"2018-09-01 04:00","2018","09","01","04:00","17.0","","17.0","","100","","28","","3","","16.1","","98.41","","","","","","Cloudy"
"2018-09-01 05:00","2018","09","01","05:00","16.3","","16.3","","100","","24","","6","","8.1","","98.43","","","","","","Fog"
"2018-09-01 06:00","2018","09","01","06:00","16.9","","16.9","","100","","21","","4","","24.1","","98.48","","","","","","NA"
"2018-09-01 07:00","2018","09","01","07:00","16.4","","16.4","","100","","25","","5","","32.2","","98.54","","","","","","Mainly Clear"
"2018-09-01 08:00","2018","09","01","08:00","17.8","","17.5","","98","","29","","8","","32.2","","98.60","","","","","","NA"
"2018-09-01 09:00","2018","09","01","09:00","20.4","","18.9","","91","","25","","11","","32.2","","98.65","","27","","","","NA"
