"Station Name","THUNDER BAY A"
"Province","ONTARIO"
"Latitude","48.37"
"Longitude","-89.32"
"Elevation","199.30"
"Climate Identifier","6048262"
"WMO Identifier",""
"TC Identifier","YQT"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-11-01 00:00","2016","11","01","00:00","10.9","","9.7","","92","","22","","11","","16.1","","97.63","","","","","","NA"
"2016-11-01 01:00","2016","11","01","01:00","11.1","","9.7","","91","","20","","16","","16.1","","97.59","","","","","","Cloudy"
"2016-11-01 02:00","2016","11","01","02:00","11.1","","9.9","","92","","19","","12","","24.1","","97.49","","","","","","NA"
"2016-11-01 03:00","2016","11","01","03:00","11.2","","10.1","","93","","22","","9","","24.1","","97.46","","","","","","NA"
"2016-11-01 04:00","2016","11","01","04:00","11.8","","10.1","","89","","23","","16","","24.1","","97.41","","","","","","Cloudy"
"2016-11-01 05:00","2016","11","01","05:00","11.3","","9.7","","90","","23","","13","","24.1","","97.36","","","","","","NA"
"2016-11-01 06:00","2016","11","01","06:00","12.1","","7.0","","71","","25","","27","","24.1","","97.44","","","","","","NA"
"2016-11-01 07:00","2016","11","01","07:00","11.3","","6.7","","73","","24","","16","","32.2","","97.49","","","","","","Mostly Cloudy"
"2016-11-01 08:00","2016","11","01","08:00","10.4","","5.4","","71","","25","","35","","32.2","","97.56","","","","","","NA"
"2016-11-01 09:00","2016","11","01","09:00","10.5","","5.1","","69","","27","","23","","32.2","","97.71","","","","","","NA"
"2016-11-01 10:00","2016","11","01","10:00","10.7","","6.1","","73","","28","","26","","32.2","","97.82","","","","","","Cloudy"
"2016-11-01 11:00","2016","11","01","11:00","10.4","","5.2","","70","","28","","34","","32.2","","97.90","","","","","","NA"
"2016-11-01 12:00","2016","11","01","12:00","10.5","","5.1","","69","","29","","36","","32.2","","98.07","","","","","","NA"
"2016-11-01 13:00","2016","11","01","13:00","10.1","","4.9","","70","","28","","37","","32.2","","98.22","","","","","","Mostly Cloudy"
"2016-11-01 14:00","2016","11","01","14:00","11.9","","5.1","","63","","29","","32","","32.2","","98.35","","","","","","NA"
"2016-11-01 15:00","2016","11","01","15:00","9.3","","3.9","","69","","30","","27","","32.2","","98.49","","","","","","NA"
"2016-11-01 16:00","2016","11","01","16:00","9.0","","3.9","","70","","30","","30","","32.2","","98.69","","","","","","Mostly Cloudy"
"2016-11-01 17:00","2016","11","01","17:00","8.2","","3.5","","72","","28","","27","","32.2","","98.86","","","","","","NA"
"2016-11-01 18:00","2016","11","01","18:00","7.9","","3.6","","74","","29","","18","","24.1","","98.94","","","","","","NA"
"2016-11-01 19:00","2016","11","01","19:00","7.2","","2.7","","73","","28","","17","","24.1","","99.07","","","","","","Mostly Cloudy"
"2016-11-01 20:00","2016","11","01","20:00","7.3","","2.8","","73","","29","","8","","24.1","","99.13","","","","","","NA"
"2016-11-01 21:00","2016","11","01","21:00","7.1","","2.8","","74","","26","","4","","24.1","","99.23","","","","","","NA"
"2016-11-01 22:00","2016","11","01","22:00","3.6","","2.7","","94","","27","","4","","24.1","","99.29","","","","","","Mainly Clear"
"2016-11-01 23:00","2016","11","01","23:00","3.2","","2.6","","96","","32","","5","","24.1","","99.36","","","","","","NA"
"2016-11-02 00:00","2016","11","02","00:00","4.4","","3.5","","94","","30","","6","","24.1","","99.40","","","","","","NA"
"2016-11-02 01:00","2016","11","02","01:00","4.9","","3.4","","90","","25","","7","","24.1","","99.47","","","","","","Mostly Cloudy"
"2016-11-02 02:00","2016","11","02","02:00","1.1","","1.1","","100","","22","","5","","24.1","","99.49","","","","","","NA"
"2016-11-02 03:00","2016","11","02","03:00","1.5","","1.5","","100","","30","","6","","24.1","","99.55","","","","","","NA"
"2016-11-02 04:00","2016","11","02","04:00","0.5","","0.5","","100","","24","","5","","24.1","","99.59","","","","","","Clear"
"2016-11-02 05:00","2016","11","02","05:00","0.8","","0.8","","100","","36","","3","","24.1","","99.57","","","","","","NA"
"2016-11-02 06:00","2016","11","02","06:00","-0.5","","-0.5","","100","","32","","7","","24.1","","99.61","","","","-3","","NA"
"2016-11-02 07:00","2016","11","02","07:00","-0.9","","-0.9","","100","","29","","10","","32.2","","99.66","","","","-4","","Mainly Clear"
"2016-11-02 08:00","2016","11","02","08:00","-2.1","","-2.1","","100","","24","","5","","32.2","","99.67","","","","-4","","NA"
"2016-11-02 09:00","2016","11","02","09:00","1.0","","1.0","","100","","27","","7","","32.2","","99.71","","","","","","NA"
"2016-11-02 10:00","2016","11","02","10:00","3.0","","2.9","","99","","28","","3","","32.2","","99.68","","","","","","Mostly Cloudy"
"2016-11-02 11:00","2016","11","02","11:00","8.2","","4.2","","76","","27","","4","","32.2","","99.64","","","","","","NA"
"2016-11-02 12:00","2016","11","02","12:00","11.5","","4.8","","63","","22","","13","","32.2","","99.61","","","","","","NA"
"2016-11-02 13:00","2016","11","02","13:00","12.1","","5.1","","62","","25","","5","","32.2","","99.56","","","","","","Mostly Cloudy"
"2016-11-02 14:00","2016","11","02","14:00","13.9","","5.8","","58","","25","","16","","32.2","","99.53","","","","","","NA"
"2016-11-02 15:00","2016","11","02","15:00","13.4","","5.9","","60","","36","","1","","32.2","","99.52","","","","","","NA"
"2016-11-02 16:00","2016","11","02","16:00","13.8","","6.0","","59","","32","","8","","32.2","","99.52","","","","","","Mostly Cloudy"
"2016-11-02 17:00","2016","11","02","17:00","11.0","","5.6","","69","","34","","17","","32.2","","99.62","","","","","","NA"
"2016-11-02 18:00","2016","11","02","18:00","7.9","","3.8","","75","","36","","3","","24.1","","99.63","","","","","","NA"
"2016-11-02 19:00","2016","11","02","19:00","6.3","","3.3","","81","","31","","7","","24.1","","99.69","","","","","","Clear"
"2016-11-02 20:00","2016","11","02","20:00","1.7","","1.4","","98","","29","","8","","24.1","","99.72","","","","","","NA"
"2016-11-02 21:00","2016","11","02","21:00","3.4","","2.7","","95","","36","","2","","24.1","","99.72","","","","","","NA"
"2016-11-02 22:00","2016","11","02","22:00","1.4","","1.3","","99","","29","","8","","24.1","","99.72","","","","","","Cloudy"
"2016-11-02 23:00","2016","11","02","23:00","3.7","","3.3","","97","","22","","5","","24.1","","99.70","","","","","","NA"
"2016-11-03 00:00","2016","11","03","00:00","4.1","","3.5","","96","","25","","7","","24.1","","99.73","","","","","","NA"
