"Station Name","TORONTO CITY"
"Province","ONTARIO"
"Current Station Operator","Environment and Climate Change Canada - Meteorological Service of Canada"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158355"
"WMO Identifier","71508"
"TC Identifier","XTO"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-07-01 00:00","2018","07","01","00:00","26.6","","20.1","","68","","","M","","M","","","100.11","","34","","","","NA"
"2018-07-01 01:00","2018","07","01","01:00","25.2","","20.3","","74","","","M","","M","","","100.24","","33","","","","NA"
"2018-07-01 02:00","2018","07","01","02:00","25.1","","20.8","","77","","","M","","M","","","100.27","","33","","","","NA"
"2018-07-01 03:00","2018","07","01","03:00","24.2","","20.2","","78","","","M","","M","","","100.22","","32","","","","NA"
"2018-07-01 04:00","2018","07","01","04:00","24.1","","20.0","","78","","","M","","M","","","100.21","","32","","","","NA"
"2018-07-01 05:00","2018","07","01","05:00","23.0","","19.8","","82","","","M","","M","","","100.24","","30","","","","NA"
"2018-07-01 06:00","2018","07","01","06:00","23.4","","19.9","","81","","","M","","M","","","100.25","","31","","","","NA"
"2018-07-01 07:00","2018","07","01","07:00","24.5","","20.0","","76","","","M","","M","","","100.28","","32","","","","NA"
"2018-07-01 08:00","2018","07","01","08:00","26.0","","19.9","","69","","","M","","M","","","100.29","","33","","","","NA"
"2018-07-01 09:00","2018","07","01","09:00","27.3","","20.4","","66","","","M","","M","","","100.28","","35","","","","NA"
"2018-07-01 10:00","2018","07","01","10:00","27.6","","19.9","","63","","","M","","M","","","100.29","","35","","","","NA"
"2018-07-01 11:00","2018","07","01","11:00","29.3","","20.6","","59","","","M","","M","","","100.23","","37","","","","NA"
"2018-07-01 12:00","2018","07","01","12:00","30.4","","20.8","","57","","","M","","M","","","100.20","","39","","","","NA"
"2018-07-01 13:00","2018","07","01","13:00","31.7","","21.5","","55","","","M","","M","","","100.16","","41","","","","NA"
"2018-07-01 14:00","2018","07","01","14:00","32.5","","20.8","","50","","","M","","M","","","100.13","","41","","","","NA"
"2018-07-01 15:00","2018","07","01","15:00","31.6","","18.5","","46","","","M","","M","","","100.10","","38","","","","NA"
"2018-07-01 16:00","2018","07","01","16:00","31.4","","17.1","","42","","","M","","M","","","100.05","","37","","","","NA"
"2018-07-01 17:00","2018","07","01","17:00","31.4","","15.1","","37","","","M","","M","","","100.00","","35","","","","NA"
"2018-07-01 18:00","2018","07","01","18:00","30.9","","17.0","","43","","","M","","M","","","99.98","","36","","","","NA"
"2018-07-01 19:00","2018","07","01","19:00","29.6","","17.7","","49","","","M","","M","","","99.99","","35","","","","NA"
"2018-07-01 20:00","2018","07","01","20:00","27.8","","17.8","","54","","","M","","M","","","99.98","","34","","","","NA"
"2018-07-01 21:00","2018","07","01","21:00","27.8","","18.6","","58","","","M","","M","","","100.02","","34","","","","NA"
"2018-07-01 22:00","2018","07","01","22:00","27.4","","19.0","","60","","","M","","M","","","100.06","","34","","","","NA"
"2018-07-01 23:00","2018","07","01","23:00","26.7","","18.7","","61","","","M","","M","","","100.06","","33","","","","NA"
"2018-07-02 00:00","2018","07","02","00:00","25.9","","18.1","","62","","","M","","M","","","100.05","","32","","","","NA"
"2018-07-02 01:00","2018","07","02","01:00","25.6","","18.2","","64","","","M","","M","","","100.00","","32","","","","NA"
"2018-07-02 02:00","2018","07","02","02:00","25.0","","18.7","","68","","","M","","M","","","99.97","","32","","","","NA"
"2018-07-02 03:00","2018","07","02","03:00","24.6","","18.9","","71","","","M","","M","","","99.96","","31","","","","NA"
"2018-07-02 04:00","2018","07","02","04:00","24.5","","19.1","","72","","","M","","M","","","99.96","","31","","","","NA"
"2018-07-02 05:00","2018","07","02","05:00","24.5","","19.5","","74","","","M","","M","","","99.99","","32","","","","NA"
"2018-07-02 06:00","2018","07","02","06:00","24.5","","20.0","","76","","","M","","M","","","100.01","","32","","","","NA"
"2018-07-02 07:00","2018","07","02","07:00","25.6","","20.1","","72","","","M","","M","","","100.05","","33","","","","NA"
"2018-07-02 08:00","2018","07","02","08:00","27.1","","20.1","","66","","","M","","M","","","100.07","","35","","","","NA"
"2018-07-02 09:00","2018","07","02","09:00","28.5","","20.1","","61","","","M","","M","","","100.08","","36","","","","NA"
"2018-07-02 10:00","2018","07","02","10:00","29.6","","21.0","","60","","","M","","M","","","100.12","","38","","","","NA"
"2018-07-02 11:00","2018","07","02","11:00","30.5","","20.8","","56","","","M","","M","","","100.13","","39","","","","NA"
"2018-07-02 12:00","2018","07","02","12:00","31.0","","21.1","","55","","","M","","M","","","100.11","","40","","","","NA"
"2018-07-02 13:00","2018","07","02","13:00","30.5","","21.4","","58","","","M","","M","","","100.09","","39","","","","NA"
"2018-07-02 14:00","2018","07","02","14:00","31.3","","21.5","","56","","","M","","M","","","100.09","","40","","","","NA"
