"Station Name","KITCHENER/WATERLOO"
"Province","ONTARIO"
"Latitude","43.46"
"Longitude","-80.38"
"Elevation","321.60"
"Climate Identifier","6144239"
"WMO Identifier","71368"
"TC Identifier","YKF"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-03-01 00:00","2017","03","01","00:00","10.3","","9.9","","97","","20","","11","","4.8","","96.65","","","","","","Rain,Fog"
"2017-03-01 01:00","2017","03","01","01:00","10.1","","9.8","","98","","","M","4","","1.6","","96.49","","","","","","Moderate Rain,Fog"
"2017-03-01 02:00","2017","03","01","02:00","10.1","","9.8","","98","","16","","9","","1.6","","96.34","","","","","","Moderate Rain,Fog"
"2017-03-01 03:00","2017","03","01","03:00","10.1","","9.8","","98","","13","","8","","3.6","","96.10","","","","","","Rain,Fog"
"2017-03-01 04:00","2017","03","01","04:00","11.0","","10.7","","98","","20","","15","","16.1","","95.94","","","","","","NA"
"2017-03-01 05:00","2017","03","01","05:00","11.1","","10.3","","95","","19","","13","","16.1","","95.87","","","","","","NA"
"2017-03-01 06:00","2017","03","01","06:00","10.9","","10.0","","94","","22","","17","","11.3","","95.94","","","","","","Rain"
"2017-03-01 07:00","2017","03","01","07:00","10.3","","9.5","","95","","18","","18","","16.1","","95.64","","","","","","NA"
"2017-03-01 08:00","2017","03","01","08:00","10.4","","9.6","","95","","26","","18","","16.1","","95.70","","","","","","NA"
"2017-03-01 09:00","2017","03","01","09:00","10.6","","9.5","","93","","23","","28","","16.1","","95.71","","","","","","NA"
"2017-03-01 10:00","2017","03","01","10:00","12.0","","9.7","","86","","23","","30","","16.1","","95.58","","","","","","NA"
"2017-03-01 11:00","2017","03","01","11:00","11.7","","9.3","","85","","22","","30","","16.1","","95.54","","","","","","NA"
"2017-03-01 12:00","2017","03","01","12:00","11.0","","9.0","","87","","22","","21","","16.1","","95.49","","","","","","NA"
"2017-03-01 13:00","2017","03","01","13:00","10.4","","9.0","","91","","23","","30","","14.5","","95.51","","","","","","Rain"
"2017-03-01 14:00","2017","03","01","14:00","10.7","","9.9","","95","","22","","21","","4.8","","95.40","","","","","","Rain,Fog"
"2017-03-01 15:00","2017","03","01","15:00","11.4","","9.9","","90","","23","","34","","16.1","","95.31","","","","","","NA"
"2017-03-01 16:00","2017","03","01","16:00","10.5","","9.6","","94","","19","","26","","16.1","","95.24","","","","","","Rain"
"2017-03-01 17:00","2017","03","01","17:00","10.7","","9.5","","92","","22","","26","","16.1","","95.19","","","","","","Rain"
"2017-03-01 18:00","2017","03","01","18:00","8.5","","6.5","","87","","26","","46","","16.1","","95.27","","","","","","Rain"
"2017-03-01 19:00","2017","03","01","19:00","5.0","","2.9","","86","","26","","58","","16.1","","95.49","","","","","","NA"
"2017-03-01 20:00","2017","03","01","20:00","2.0","","-0.3","","85","","26","","46","","16.1","","95.69","","","","","","NA"
"2017-03-01 21:00","2017","03","01","21:00","-0.2","","-2.8","","83","","27","","43","","16.1","","95.82","","","","-8","","Snow"
"2017-03-01 22:00","2017","03","01","22:00","-2.2","","-4.5","","84","","27","","39","","16.1","","95.98","","","","-10","","NA"
"2017-03-01 23:00","2017","03","01","23:00","-2.9","","-5.8","","81","","29","","41","","8.1","","96.03","","","","-11","","Snow"
"2017-03-02 00:00","2017","03","02","00:00","-4.5","","-7.4","","80","","29","","41","","16.1","","96.17","","","","-14","","Snow"
"2017-03-02 01:00","2017","03","02","01:00","-6.1","","-8.9","","81","","31","","35","","4.0","","96.35","","","","-15","","Snow"
"2017-03-02 02:00","2017","03","02","02:00","-6.7","","-9.3","","82","","30","","28","","6.4","","96.57","","","","-15","","Snow"
"2017-03-02 03:00","2017","03","02","03:00","-7.3","","-10.8","","76","","30","","37","","16.1","","96.72","","","","-17","","Snow"
"2017-03-02 04:00","2017","03","02","04:00","-7.5","","-11.4","","74","","30","","41","","16.1","","96.92","","","","-18","","Snow"
"2017-03-02 05:00","2017","03","02","05:00","-7.6","","-10.4","","80","","31","","32","","6.4","","97.10","","","","-17","","Snow"
"2017-03-02 06:00","2017","03","02","06:00","-7.6","","-10.8","","78","","31","","26","","16.1","","97.25","","","","-16","","Snow"
"2017-03-02 07:00","2017","03","02","07:00","-7.0","","-9.6","","82","","31","","22","","14.5","","97.36","","","","-14","","Snow"
"2017-03-02 08:00","2017","03","02","08:00","-7.3","","-10.8","","76","","31","","26","","16.1","","97.47","","","","-15","","Snow"
"2017-03-02 09:00","2017","03","02","09:00","-7.0","","-11.4","","71","","30","","30","","16.1","","97.61","","","","-16","","Snow"
"2017-03-02 10:00","2017","03","02","10:00","-6.7","","-10.7","","74","","32","","24","","16.1","","97.71","","","","-14","","Snow"
"2017-03-02 11:00","2017","03","02","11:00","-5.7","","-10.3","","70","","29","","28","","16.1","","97.79","","","","-14","","Snow"
"2017-03-02 12:00","2017","03","02","12:00","-4.9","","-10.2","","67","","30","","32","","16.1","","97.83","","","","-13","","NA"
"2017-03-02 13:00","2017","03","02","13:00","-4.2","","-10.0","","64","","29","","30","","16.1","","97.86","","","","-12","","NA"
"2017-03-02 14:00","2017","03","02","14:00","-4.0","","-9.8","","65","","29","","32","","16.1","","97.89","","","","-12","","Snow"
"2017-03-02 15:00","2017","03","02","15:00","-3.3","","-9.7","","61","","29","","32","","16.1","","97.94","","","","-11","","NA"
"2017-03-02 16:00","2017","03","02","16:00","-4.7","","-10.9","","62","","30","","28","","16.1","","97.99","","","","-12","","NA"
"2017-03-02 17:00","2017","03","02","17:00","-4.2","","-10.9","","60","","30","","28","","16.1","","98.06","","","","-12","","NA"
"2017-03-02 18:00","2017","03","02","18:00","-5.9","","-11.8","","63","","29","","28","","16.1","","98.15","","","","-14","","Snow"
"2017-03-02 19:00","2017","03","02","19:00","-6.6","","-11.9","","66","","29","","26","","16.1","","98.24","","","","-15","","Snow"
"2017-03-02 20:00","2017","03","02","20:00","-6.6","","-11.4","","69","","30","","18","","16.1","","98.32","","","","-13","","Snow"
"2017-03-02 21:00","2017","03","02","21:00","-7.3","","-11.5","","72","","29","","17","","16.1","","98.32","","","","-14","","NA"
"2017-03-02 22:00","2017","03","02","22:00","-7.5","","-11.6","","73","","29","","9","","16.1","","98.33","","","","-12","","NA"
"2017-03-02 23:00","2017","03","02","23:00","-7.5","","-11.7","","72","","30","","11","","16.1","","98.31","","","","-13","","NA"
"2017-03-03 00:00","2017","03","03","00:00","-7.4","","-11.0","","76","","27","","11","","16.1","","98.30","","","","-12","","NA"
"2017-03-03 01:00","2017","03","03","01:00","-8.0","","-11.4","","77","","25","","9","","16.1","","98.31","","","","-13","","NA"
"2017-03-03 02:00","2017","03","03","02:00","-8.1","","-11.0","","80","","23","","8","","16.1","","98.30","","","","-12","","NA"
"2017-03-03 03:00","2017","03","03","03:00","-7.9","","-10.6","","81","","24","","11","","16.1","","98.26","","","","-13","","NA"
"2017-03-03 04:00","2017","03","03","04:00","-7.9","","-10.8","","80","","25","","11","","16.1","","98.24","","","","-13","","NA"
"2017-03-03 05:00","2017","03","03","05:00","-7.1","","-10.0","","80","","23","","17","","16.1","","98.24","","","","-14","","NA"
"2017-03-03 06:00","2017","03","03","06:00","-6.4","","-8.1","","88","","28","","26","","2.8","","98.28","","","","-14","","Snow"
"2017-03-03 07:00","2017","03","03","07:00","-6.6","","-9.7","","79","","29","","26","","16.1","","98.34","","","","-15","","Snow"
"2017-03-03 08:00","2017","03","03","08:00","-7.9","","-9.9","","86","","32","","28","","1.6","","98.45","","","","-17","","Snow"
"2017-03-03 09:00","2017","03","03","09:00","-8.5","","-13.3","","68","","33","","35","","16.1","","98.60","","","","-18","","NA"
"2017-03-03 10:00","2017","03","03","10:00","-8.1","","-15.1","","58","","33","","32","","16.1","","98.70","","","","-17","","NA"
"2017-03-03 11:00","2017","03","03","11:00","-7.7","","-15.5","","54","","33","","34","","16.1","","98.79","","","","-17","","NA"
"2017-03-03 12:00","2017","03","03","12:00","-7.8","","-14.5","","59","","32","","30","","16.1","","98.88","","","","-17","","NA"
"2017-03-03 13:00","2017","03","03","13:00","-7.8","","-15.7","","54","","33","","35","","16.1","","98.91","","","","-17","","NA"
"2017-03-03 14:00","2017","03","03","14:00","-8.2","","-15.4","","57","","32","","30","","16.1","","98.95","","","","-17","","NA"
"2017-03-03 15:00","2017","03","03","15:00","-8.2","","-14.5","","61","","33","","26","","16.1","","99.02","","","","-17","","Snow"
"2017-03-03 16:00","2017","03","03","16:00","-8.1","","-12.4","","71","","30","","24","","9.7","","99.08","","","","-16","","Snow"
"2017-03-03 17:00","2017","03","03","17:00","-8.4","","-13.9","","65","","32","","24","","16.1","","99.15","","","","-17","","Snow"
"2017-03-03 18:00","2017","03","03","18:00","-9.1","","-13.5","","71","","29","","22","","16.1","","99.20","","","","-17","","NA"
