"Station Name","KITCHENER/WATERLOO"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","43.46"
"Longitude","-80.38"
"Elevation","321.60"
"Climate Identifier","6144239"
"WMO Identifier","71368"
"TC Identifier","YKF"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-07-01 00:00","2018","07","01","00:00","24.5","","21.1","","81","","25","","11","","16.1","","97.82","","33","","","","NA"
"2018-07-01 01:00","2018","07","01","01:00","24.1","","20.9","","82","","24","","15","","16.1","","97.90","","32","","","","NA"
"2018-07-01 02:00","2018","07","01","02:00","23.2","","20.6","","85","","23","","9","","16.1","","97.89","","31","","","","NA"
"2018-07-01 03:00","2018","07","01","03:00","21.8","","20.3","","91","","25","","9","","16.1","","97.88","","30","","","","NA"
"2018-07-01 04:00","2018","07","01","04:00","22.4","","20.4","","88","","","M","4","","16.1","","97.85","","30","","","","NA"
"2018-07-01 05:00","2018","07","01","05:00","22.0","","20.3","","90","","18","","5","","16.1","","97.86","","30","","","","NA"
"2018-07-01 06:00","2018","07","01","06:00","22.8","","21.0","","90","","17","","8","","11.3","","97.89","","31","","","","NA"
"2018-07-01 07:00","2018","07","01","07:00","24.3","","21.5","","84","","19","","11","","12.9","","97.92","","33","","","","NA"
"2018-07-01 08:00","2018","07","01","08:00","26.5","","22.5","","78","","20","","8","","16.1","","97.96","","36","","","","NA"
"2018-07-01 09:00","2018","07","01","09:00","28.6","","22.4","","69","","24","","13","","16.1","","97.93","","38","","","","NA"
"2018-07-01 10:00","2018","07","01","10:00","29.8","","22.1","","63","","24","","18","","16.1","","97.90","","39","","","","NA"
"2018-07-01 11:00","2018","07","01","11:00","30.7","","21.8","","59","","24","","15","","16.1","","97.85","","40","","","","NA"
"2018-07-01 12:00","2018","07","01","12:00","31.8","","22.3","","56","","20","","18","","16.1","","97.84","","41","","","","NA"
"2018-07-01 13:00","2018","07","01","13:00","32.3","","21.1","","51","","21","","22","","16.1","","97.79","","41","","","","NA"
"2018-07-01 14:00","2018","07","01","14:00","32.3","","21.6","","53","","22","","18","","16.1","","97.78","","41","","","","NA"
"2018-07-01 15:00","2018","07","01","15:00","32.2","","20.3","","49","","20","","26","","16.1","","97.74","","40","","","","NA"
"2018-07-01 16:00","2018","07","01","16:00","31.8","","18.1","","43","","22","","24","","16.1","","97.68","","38","","","","NA"
"2018-07-01 17:00","2018","07","01","17:00","31.7","","15.9","","38","","19","","21","","16.1","","97.64","","36","","","","NA"
