"Station Name","BARRIE-ORO"
"Province","ONTARIO"
"Latitude","44.48"
"Longitude","-79.55"
"Elevation","289.00"
"Climate Identifier","6117700"
"WMO Identifier","71314"
"TC Identifier","XBI"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-01-01 00:00","2017","01","01","00:00","-1.4","","-2.9","","90","","26","","20","","","","97.03","","","","-7","","NA"
"2017-01-01 01:00","2017","01","01","01:00","-1.2","","-3.6","","84","","29","","28","","","","97.23","","","","-8","","NA"
"2017-01-01 02:00","2017","01","01","02:00","-1.4","","-4.7","","78","","30","","20","","","","97.38","","","","-7","","NA"
"2017-01-01 03:00","2017","01","01","03:00","-1.6","","-4.8","","79","","31","","16","","","","97.56","","","","-7","","NA"
"2017-01-01 04:00","2017","01","01","04:00","-2.6","","-5.5","","80","","31","","11","","","","97.74","","","","-7","","NA"
"2017-01-01 05:00","2017","01","01","05:00","-2.5","","-5.0","","83","","30","","11","","","","97.82","","","","-7","","NA"
"2017-01-01 06:00","2017","01","01","06:00","-2.8","","-3.9","","92","","26","","8","","","","97.95","","","","-6","","NA"
"2017-01-01 07:00","2017","01","01","07:00","-2.8","","-3.9","","92","","24","","2","","","","98.05","","","","-4","","NA"
"2017-01-01 08:00","2017","01","01","08:00","-3.0","","-3.9","","93","","25","","2","","","","98.15","","","","-4","","NA"
"2017-01-01 09:00","2017","01","01","09:00","-1.9","","-3.7","","88","","19","","9","","","","98.25","","","","-5","","NA"
"2017-01-01 10:00","2017","01","01","10:00","-1.3","","-4.6","","78","","24","","14","","","","98.38","","","","-6","","NA"
"2017-01-01 11:00","2017","01","01","11:00","-0.7","","-5.4","","70","","25","","16","","","","98.47","","","","-5","","NA"
"2017-01-01 12:00","2017","01","01","12:00","-0.5","","-5.9","","67","","25","","14","","","","98.47","","","","-5","","NA"
"2017-01-01 13:00","2017","01","01","13:00","-0.7","","-5.8","","68","","21","","10","","","","98.45","","","","-4","","NA"
"2017-01-01 14:00","2017","01","01","14:00","-0.3","","-5.9","","66","","20","","14","","","","98.49","","","","-5","","NA"
"2017-01-01 15:00","2017","01","01","15:00","-0.1","","-5.9","","65","","22","","11","","","","98.59","","","","-4","","NA"
"2017-01-01 16:00","2017","01","01","16:00","-0.6","","-5.8","","68","","21","","8","","","","98.67","","","","-3","","NA"
