"Station Name","BARRIE-ORO"
"Province","ONTARIO"
"Current Station Operator","Environment and Climate Change Canada - Meteorological Service of Canada"
"Latitude","44.48"
"Longitude","-79.55"
"Elevation","289.00"
"Climate Identifier","6117700"
"WMO Identifier","71314"
"TC Identifier","XBI"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-07-01 00:00","2018","07","01","00:00","23.7","","22.0","","90","","0","","1","","","","98.12","","33","","","","NA"
"2018-07-01 01:00","2018","07","01","01:00","24.0","","22.2","","90","","20","","4","","","","98.19","","34","","","","NA"
"2018-07-01 02:00","2018","07","01","02:00","24.6","","22.9","","90","","20","","8","","","","98.13","","35","","","","NA"
"2018-07-01 03:00","2018","07","01","03:00","23.5","","21.7","","90","","17","","6","","","","98.11","","33","","","","NA"
"2018-07-01 04:00","2018","07","01","04:00","22.2","","20.7","","91","","27","","4","","","","98.14","","30","","","","NA"
"2018-07-01 05:00","2018","07","01","05:00","21.9","","20.5","","92","","19","","4","","","","98.14","","30","","","","NA"
"2018-07-01 06:00","2018","07","01","06:00","24.4","","21.8","","85","","24","","4","","","","98.14","","34","","","","NA"
"2018-07-01 07:00","2018","07","01","07:00","26.1","","21.9","","78","","23","","7","","","","98.14","","35","","","","NA"
"2018-07-01 08:00","2018","07","01","08:00","27.5","","22.3","","73","","24","","12","","","","98.18","","37","","","","NA"
"2018-07-01 09:00","2018","07","01","09:00","29.6","","23.1","","68","","26","","11","","","","98.18","","40","","","","NA"
"2018-07-01 10:00","2018","07","01","10:00","30.5","","22.6","","63","","23","","9","","","","98.14","","40","","","","NA"
"2018-07-01 11:00","2018","07","01","11:00","31.4","","22.7","","60","","21","","11","","","","98.09","","41","","","","NA"
"2018-07-01 12:00","2018","07","01","12:00","32.1","","22.1","","56","","20","","15","","","","98.06","","42","","","","NA"
"2018-07-01 13:00","2018","07","01","13:00","32.8","","21.4","","51","","20","","16","","","","98.03","","42","","","","NA"
"2018-07-01 14:00","2018","07","01","14:00","32.9","","20.3","","48","","20","","15","","","","97.99","","41","","","","NA"
"2018-07-01 15:00","2018","07","01","15:00","33.5","","17.6","","39","","21","","14","","","","97.96","","39","","","","NA"
"2018-07-01 16:00","2018","07","01","16:00","33.2","","17.0","","38","","20","","14","","","","97.90","","38","","","","NA"
"2018-07-01 17:00","2018","07","01","17:00","32.7","","17.6","","41","","19","","13","","","","97.86","","38","","","","NA"
"2018-07-01 18:00","2018","07","01","18:00","31.7","","18.2","","45","","20","","13","","","","97.86","","38","","","","NA"
"2018-07-01 19:00","2018","07","01","19:00","30.6","","16.9","","44","","22","","9","","","","97.88","","36","","","","NA"
"2018-07-01 20:00","2018","07","01","20:00","28.4","","17.2","","51","","21","","9","","","","97.87","","34","","","","NA"
"2018-07-01 21:00","2018","07","01","21:00","27.1","","14.6","","46","","22","","9","","","","97.97","","31","","","","NA"
"2018-07-01 22:00","2018","07","01","22:00","26.2","","16.0","","53","","20","","8","","","","97.98","","31","","","","NA"
"2018-07-01 23:00","2018","07","01","23:00","25.6","","17.4","","61","","20","","8","","","","97.99","","31","","","","NA"
"2018-07-02 00:00","2018","07","02","00:00","25.4","","18.3","","65","","20","","8","","","","97.95","","32","","","","NA"
"2018-07-02 01:00","2018","07","02","01:00","25.5","","18.8","","66","","19","","12","","","","97.92","","32","","","","NA"
"2018-07-02 02:00","2018","07","02","02:00","25.1","","18.7","","68","","21","","7","","","","97.88","","32","","","","NA"
"2018-07-02 03:00","2018","07","02","03:00","24.9","","19.0","","70","","20","","9","","","","97.86","","32","","","","NA"
"2018-07-02 04:00","2018","07","02","04:00","24.3","","19.2","","73","","22","","7","","","","97.86","","31","","","","NA"
"2018-07-02 05:00","2018","07","02","05:00","23.9","","19.4","","76","","22","","6","","","","97.90","","31","","","","NA"
"2018-07-02 06:00","2018","07","02","06:00","24.8","","20.2","","75","","23","","5","","","","97.91","","33","","","","NA"
"2018-07-02 07:00","2018","07","02","07:00","26.2","","20.9","","72","","23","","9","","","","97.93","","35","","","","NA"
"2018-07-02 08:00","2018","07","02","08:00","27.5","","21.4","","70","","25","","14","","","","97.94","","36","","","","NA"
"2018-07-02 09:00","2018","07","02","09:00","29.1","","21.6","","64","","26","","17","","","","97.97","","38","","","","NA"
"2018-07-02 10:00","2018","07","02","10:00","29.1","","22.2","","67","","26","","17","","","","98.00","","39","","","","NA"
"2018-07-02 11:00","2018","07","02","11:00","28.9","","21.8","","66","","30","","15","","","","98.01","","38","","","","NA"
"2018-07-02 12:00","2018","07","02","12:00","28.2","","21.8","","68","","29","","21","","","","98.05","","37","","","","NA"
"2018-07-02 13:00","2018","07","02","13:00","28.2","","21.3","","66","","31","","21","","","","98.08","","37","","","","NA"
"2018-07-02 14:00","2018","07","02","14:00","26.0","","19.6","","68","","31","","23","","","","98.13","","33","","","","NA"
"2018-07-02 15:00","2018","07","02","15:00","26.6","","19.8","","66","","31","","23","","","","98.16","","34","","","","NA"
"2018-07-02 16:00","2018","07","02","16:00","26.1","","18.6","","63","","32","","23","","","","98.15","","33","","","","NA"
"2018-07-02 17:00","2018","07","02","17:00","24.8","","16.8","","61","","32","","25","","","","98.22","","30","","","","NA"
"2018-07-02 18:00","2018","07","02","18:00","24.0","","15.0","","57","","31","","22","","","","98.25","","28","","","","NA"
"2018-07-02 19:00","2018","07","02","19:00","22.7","","14.0","","58","","31","","21","","","","98.31","","26","","","","NA"
"2018-07-02 20:00","2018","07","02","20:00","19.9","","12.6","","63","","31","","10","","","","98.43","","","","","","NA"
"2018-07-02 21:00","2018","07","02","21:00","17.9","","13.1","","74","","31","","10","","","","98.50","","","","","","NA"
"2018-07-02 22:00","2018","07","02","22:00","16.9","","13.2","","79","","29","","5","","","","98.58","","","","","","NA"
"2018-07-02 23:00","2018","07","02","23:00","17.2","","13.1","","77","","28","","7","","","","98.59","","","","","","NA"
"2018-07-03 00:00","2018","07","03","00:00","17.4","","13.2","","77","","29","","10","","","","98.61","","","","","","NA"
"2018-07-03 01:00","2018","07","03","01:00","17.1","","13.1","","78","","28","","9","","","","98.65","","","","","","NA"
"2018-07-03 02:00","2018","07","03","02:00","16.5","","12.8","","79","","28","","3","","","","98.69","","","","","","NA"
"2018-07-03 03:00","2018","07","03","03:00","15.6","","12.1","","80","","30","","7","","","","98.71","","","","","","NA"
"2018-07-03 04:00","2018","07","03","04:00","17.4","","12.6","","74","","32","","12","","","","98.76","","","","","","NA"
"2018-07-03 05:00","2018","07","03","05:00","16.5","","12.2","","76","","34","","8","","","","98.85","","","","","","NA"
"2018-07-03 06:00","2018","07","03","06:00","18.9","","14.4","","75","","","","0","","","","98.91","","","","","","NA"
"2018-07-03 07:00","2018","07","03","07:00","22.7","","16.2","","67","","35","","2","","","","98.95","","27","","","","NA"
"2018-07-03 08:00","2018","07","03","08:00","24.7","","15.9","","58","","1","","5","","","","98.99","","29","","","","NA"
"2018-07-03 09:00","2018","07","03","09:00","25.8","","15.7","","54","","1","","8","","","","98.99","","30","","","","NA"
"2018-07-03 10:00","2018","07","03","10:00","26.2","","18.4","","62","","16","","8","","","","99.02","","33","","","","NA"
"2018-07-03 11:00","2018","07","03","11:00","27.3","","17.3","","54","","14","","10","","","","99.02","","33","","","","NA"
"2018-07-03 12:00","2018","07","03","12:00","28.3","","14.2","","42","","16","","11","","","","99.05","","32","","","","NA"
"2018-07-03 13:00","2018","07","03","13:00","29.1","","14.7","","41","","14","","12","","","","99.03","","33","","","","NA"
