"Station Name","LONDON CS"
"Province","ONTARIO"
"Current Station Operator","Environment and Climate Change Canada - Meteorological Service of Canada"
"Latitude","43.03"
"Longitude","-81.15"
"Elevation","278.00"
"Climate Identifier","6144478"
"WMO Identifier","71622"
"TC Identifier","WSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-08-01 00:00","2018","08","01","00:00","20.5","","18.8","","90","","","M","","M","","","98.01","","27","","","","NA"
"2018-08-01 01:00","2018","08","01","01:00","21.0","","19.3","","90","","","M","","M","","","97.98","","28","","","","NA"
"2018-08-01 02:00","2018","08","01","02:00","21.2","","19.7","","91","","","M","","M","","","97.90","","29","","","","NA"
"2018-08-01 03:00","2018","08","01","03:00","21.5","","20.1","","92","","","M","","M","","","97.88","","29","","","","NA"
"2018-08-01 04:00","2018","08","01","04:00","21.4","","20.0","","92","","","M","","M","","","97.85","","29","","","","NA"
"2018-08-01 05:00","2018","08","01","05:00","21.3","","20.0","","93","","","M","","M","","","97.86","","29","","","","NA"
"2018-08-01 06:00","2018","08","01","06:00","21.9","","20.3","","91","","","M","","M","","","97.88","","30","","","","NA"
"2018-08-01 07:00","2018","08","01","07:00","22.4","","19.7","","85","","","M","","M","","","97.89","","30","","","","NA"
"2018-08-01 08:00","2018","08","01","08:00","22.1","","19.9","","87","","","M","","M","","","97.88","","30","","","","NA"
"2018-08-01 09:00","2018","08","01","09:00","22.6","","19.3","","82","","","M","","M","","","97.91","","30","","","","NA"
"2018-08-01 10:00","2018","08","01","10:00","22.0","","18.7","","81","","","M","","M","","","97.99","","29","","","","NA"
"2018-08-01 11:00","2018","08","01","11:00","22.3","","18.9","","81","","","M","","M","","","98.04","","29","","","","NA"
"2018-08-01 12:00","2018","08","01","12:00","23.2","","18.9","","77","","","M","","M","","","98.06","","30","","","","NA"
"2018-08-01 13:00","2018","08","01","13:00","22.9","","19.3","","80","","","M","","M","","","98.04","","30","","","","NA"
"2018-08-01 14:00","2018","08","01","14:00","23.7","","19.2","","76","","","M","","M","","","98.03","","31","","","","NA"
"2018-08-01 15:00","2018","08","01","15:00","22.1","","19.7","","86","","","M","","M","","","98.11","","29","","","","NA"
"2018-08-01 16:00","2018","08","01","16:00","22.7","","18.3","","77","","","M","","M","","","98.12","","29","","","","NA"
"2018-08-01 17:00","2018","08","01","17:00","22.3","","18.3","","78","","","M","","M","","","98.12","","29","","","","NA"
"2018-08-01 18:00","2018","08","01","18:00","21.8","","18.2","","80","","","M","","M","","","98.14","","28","","","","NA"
"2018-08-01 19:00","2018","08","01","19:00","21.1","","17.4","","80","","","M","","M","","","98.20","","27","","","","NA"
