"Station Name","LONDON CS"
"Province","ONTARIO"
"Latitude","43.03"
"Longitude","-81.15"
"Elevation","278.00"
"Climate Identifier","6144478"
"WMO Identifier","71622"
"TC Identifier","WSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-12-01 00:00","2017","12","01","00:00","4.7","","0.6","","75","","","M","","M","","","98.48","","","","","","NA"
"2017-12-01 01:00","2017","12","01","01:00","3.3","","-0.1","","78","","","M","","M","","","98.54","","","","","","NA"
"2017-12-01 02:00","2017","12","01","02:00","4.2","","-0.1","","74","","","M","","M","","","98.59","","","","","","NA"
"2017-12-01 03:00","2017","12","01","03:00","3.9","","0.2","","77","","","M","","M","","","98.68","","","","","","NA"
"2017-12-01 04:00","2017","12","01","04:00","3.2","","0.2","","81","","","M","","M","","","98.71","","","","","","NA"
"2017-12-01 05:00","2017","12","01","05:00","2.0","","0.1","","87","","","M","","M","","","98.79","","","","","","NA"
"2017-12-01 06:00","2017","12","01","06:00","0.6","","-0.3","","94","","","M","","M","","","98.79","","","","","","NA"
"2017-12-01 07:00","2017","12","01","07:00","-0.7","","-1.5","","95","","","M","","M","","","98.88","","","","","","NA"
"2017-12-01 08:00","2017","12","01","08:00","-0.6","","-1.3","","95","","","M","","M","","","98.93","","","","","","NA"
"2017-12-01 09:00","2017","12","01","09:00","1.8","","0.3","","90","","","M","","M","","","99.02","","","","","","NA"
"2017-12-01 10:00","2017","12","01","10:00","4.7","","-0.2","","71","","","M","","M","","","99.06","","","","","","NA"
"2017-12-01 11:00","2017","12","01","11:00","5.7","","-2.6","","55","","","M","","M","","","99.10","","","","","","NA"
"2017-12-01 12:00","2017","12","01","12:00","5.7","","-2.3","","56","","","M","","M","","","99.06","","","","","","NA"
"2017-12-01 13:00","2017","12","01","13:00","6.9","","-1.1","","57","","","M","","M","","","99.06","","","","","","NA"
"2017-12-01 14:00","2017","12","01","14:00","7.2","","-2.1","","52","","","M","","M","","","99.01","","","","","","NA"
"2017-12-01 15:00","2017","12","01","15:00","6.8","","-1.9","","54","","","M","","M","","","98.99","","","","","","NA"
"2017-12-01 16:00","2017","12","01","16:00","5.6","","-1.1","","62","","","M","","M","","","99.00","","","","","","NA"
"2017-12-01 17:00","2017","12","01","17:00","4.1","","-1.4","","68","","","M","","M","","","99.04","","","","","","NA"
"2017-12-01 18:00","2017","12","01","18:00","2.2","","-1.2","","78","","","M","","M","","","99.07","","","","","","NA"
"2017-12-01 19:00","2017","12","01","19:00","1.4","","-0.8","","85","","","M","","M","","","99.08","","","","","","NA"
"2017-12-01 20:00","2017","12","01","20:00","1.5","","-0.3","","88","","","M","","M","","","99.05","","","","","","NA"
"2017-12-01 21:00","2017","12","01","21:00","0.3","","-1.1","","90","","","M","","M","","","99.05","","","","","","NA"
"2017-12-01 22:00","2017","12","01","22:00","0.2","","-0.9","","92","","","M","","M","","","99.00","","","","","","NA"
"2017-12-01 23:00","2017","12","01","23:00","-0.3","","-1.2","","94","","","M","","M","","","98.99","","","","","","NA"
"2017-12-02 00:00","2017","12","02","00:00","0.1","","-1.1","","92","","","M","","M","","","99.02","","","","","","NA"
"2017-12-02 01:00","2017","12","02","01:00","-0.4","","-1.4","","93","","","M","","M","","","98.97","","","","","","NA"
"2017-12-02 02:00","2017","12","02","02:00","0.4","","-1.0","","90","","","M","","M","","","98.95","","","","","","NA"
"2017-12-02 03:00","2017","12","02","03:00","-0.2","","-1.4","","92","","","M","","M","","","98.95","","","","","","NA"
"2017-12-02 04:00","2017","12","02","04:00","-0.6","","-1.6","","94","","","M","","M","","","98.91","","","","","","NA"
"2017-12-02 05:00","2017","12","02","05:00","-1.3","","-2.2","","94","","","M","","M","","","98.92","","","","","","NA"
"2017-12-02 06:00","2017","12","02","06:00","-0.5","","-1.5","","93","","","M","","M","","","98.89","","","","","","NA"
"2017-12-02 07:00","2017","12","02","07:00","0.0","","-1.3","","91","","","M","","M","","","98.88","","","","","","NA"
"2017-12-02 08:00","2017","12","02","08:00","0.0","","-1.2","","92","","","M","","M","","","98.88","","","","","","NA"
"2017-12-02 09:00","2017","12","02","09:00","0.5","","-1.1","","89","","","M","","M","","","98.90","","","","","","NA"
"2017-12-02 10:00","2017","12","02","10:00","1.5","","-0.3","","88","","","M","","M","","","98.95","","","","","","NA"
"2017-12-02 11:00","2017","12","02","11:00","3.5","","1.2","","85","","","M","","M","","","98.93","","","","","","NA"
"2017-12-02 12:00","2017","12","02","12:00","6.1","","2.5","","78","","","M","","M","","","98.83","","","","","","NA"
"2017-12-02 13:00","2017","12","02","13:00","7.1","","1.8","","69","","","M","","M","","","98.72","","","","","","NA"
"2017-12-02 14:00","2017","12","02","14:00","8.2","","1.2","","61","","","M","","M","","","98.66","","","","","","NA"
"2017-12-02 15:00","2017","12","02","15:00","8.0","","0.1","","58","","","M","","M","","","98.60","","","","","","NA"
"2017-12-02 16:00","2017","12","02","16:00","6.8","","1.1","","67","","","M","","M","","","98.64","","","","","","NA"
"2017-12-02 17:00","2017","12","02","17:00","5.4","","1.8","","78","","","M","","M","","","98.64","","","","","","NA"
"2017-12-02 18:00","2017","12","02","18:00","4.9","","1.7","","80","","","M","","M","","","98.74","","","","","","NA"
"2017-12-02 19:00","2017","12","02","19:00","4.4","","1.5","","81","","","M","","M","","","98.68","","","","","","NA"
"2017-12-02 20:00","2017","12","02","20:00","3.8","","2.0","","88","","","M","","M","","","98.70","","","","","","NA"
"2017-12-02 21:00","2017","12","02","21:00","3.4","","1.9","","90","","","M","","M","","","98.62","","","","","","NA"
"2017-12-02 22:00","2017","12","02","22:00","2.9","","1.7","","92","","","M","","M","","","98.63","","","","","","NA"
"2017-12-02 23:00","2017","12","02","23:00","1.4","","0.5","","94","","","M","","M","","","98.64","","","","","","NA"
"2017-12-03 00:00","2017","12","03","00:00","1.0","","0.3","","95","","","M","","M","","","98.60","","","","","","NA"
"2017-12-03 01:00","2017","12","03","01:00","-0.3","","-0.9","","96","","","M","","M","","","98.58","","","","","","NA"
"2017-12-03 02:00","2017","12","03","02:00","-0.3","","-0.8","","97","","","M","","M","","","98.56","","","","","","NA"
"2017-12-03 03:00","2017","12","03","03:00","0.0","","-0.3","","98","","","M","","M","","","98.59","","","","","","NA"
"2017-12-03 04:00","2017","12","03","04:00","-1.8","","-2.1","","98","","","M","","M","","","98.56","","","","","","NA"
"2017-12-03 05:00","2017","12","03","05:00","-2.4","","-2.6","","98","","","M","","M","","","98.57","","","","","","NA"
"2017-12-03 06:00","2017","12","03","06:00","-2.9","","-3.2","","98","","","M","","M","","","98.59","","","","","","NA"
"2017-12-03 07:00","2017","12","03","07:00","-3.7","","-4.0","","97","","","M","","M","","","98.66","","","","","","NA"
