"Station Name","SUDBURY A"
"Province","ONTARIO"
"Latitude","46.63"
"Longitude","-80.80"
"Elevation","348.40"
"Climate Identifier","6068153"
"WMO Identifier","71730"
"TC Identifier","YSB"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-02-01 00:00","2018","02","01","00:00","-3.2","","-5.9","","81","","23","","23","","24.1","","95.86","","","","-10","","NA"
"2018-02-01 01:00","2018","02","01","01:00","-3.3","","-5.7","","83","","22","","19","","24.1","","95.82","","","","-9","","Cloudy"
"2018-02-01 02:00","2018","02","01","02:00","-3.5","","-5.5","","85","","21","","17","","24.1","","95.84","","","","-9","","NA"
"2018-02-01 03:00","2018","02","01","03:00","-3.3","","-4.9","","89","","23","","16","","24.1","","95.85","","","","-9","","NA"
"2018-02-01 04:00","2018","02","01","04:00","-3.4","","-5.0","","89","","24","","18","","24.1","","95.88","","","","-9","","Cloudy"
"2018-02-01 05:00","2018","02","01","05:00","-4.0","","-7.3","","77","","26","","11","","24.1","","95.82","","","","-8","","NA"
"2018-02-01 06:00","2018","02","01","06:00","-5.6","","-8.3","","81","","27","","12","","3.2","","95.84","","","","-11","","Snow"
"2018-02-01 07:00","2018","02","01","07:00","-6.8","","-8.7","","87","","28","","18","","4.0","","95.86","","","","-13","","Snow"
"2018-02-01 08:00","2018","02","01","08:00","-7.3","","-9.6","","83","","29","","17","","4.8","","95.89","","","","-14","","Snow"
"2018-02-01 09:00","2018","02","01","09:00","-8.0","","-10.4","","83","","29","","18","","1.2","","95.98","","","","-15","","Snow"
"2018-02-01 10:00","2018","02","01","10:00","-10.1","","-13.5","","76","","32","","33","","9.7","","96.12","","","","-20","","Snow"
"2018-02-01 11:00","2018","02","01","11:00","","M","","M","","M","32","","28","","24.1","","","M","","","","","NA"
"2018-02-01 12:00","2018","02","01","12:00","-9.7","","-15.7","","62","","31","","20","","32.2","","96.28","","","","-17","","NA"
"2018-02-01 13:00","2018","02","01","13:00","-12.1","","-16.8","","68","","32","","23","","8.1","","96.35","","","","-21","","Snow Showers,Blowing Snow"
"2018-02-01 14:00","2018","02","01","14:00","-12.4","","-19.3","","57","","31","","27","","32.2","","96.41","","","","-22","","Blowing Snow"
