"Station Name","SUDBURY A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","46.63"
"Longitude","-80.80"
"Elevation","348.40"
"Climate Identifier","6068153"
"WMO Identifier","71730"
"TC Identifier","YSB"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-11-01 00:00","2018","11","01","00:00","1.8","","-0.6","","84","","24","","9","","24.1","","96.96","","","","","","NA"
"2018-11-01 01:00","2018","11","01","01:00","2.4","","-1.0","","78","","27","","9","","24.1","","96.96","","","","","","Mostly Cloudy"
"2018-11-01 02:00","2018","11","01","02:00","1.8","","-0.8","","83","","23","","8","","24.1","","96.98","","","","","","NA"
"2018-11-01 03:00","2018","11","01","03:00","1.3","","-0.9","","85","","23","","3","","24.1","","96.97","","","","","","NA"
"2018-11-01 04:00","2018","11","01","04:00","0.6","","-0.9","","90","","27","","5","","24.1","","96.99","","","","","","Mainly Clear"
"2018-11-01 05:00","2018","11","01","05:00","0.7","","-0.7","","90","","23","","8","","24.1","","97.02","","","","","","NA"
"2018-11-01 06:00","2018","11","01","06:00","-0.2","","-0.9","","94","","24","","5","","24.1","","97.06","","","","-2","","NA"
"2018-11-01 07:00","2018","11","01","07:00","0.1","","-1.0","","92","","27","","9","","32.2","","97.06","","","","","","Mostly Cloudy"
"2018-11-01 08:00","2018","11","01","08:00","-0.1","","-0.9","","94","","24","","6","","32.2","","97.13","","","","-2","","NA"
"2018-11-01 09:00","2018","11","01","09:00","1.3","","-0.4","","88","","26","","7","","32.2","","97.13","","","","","","NA"
"2018-11-01 10:00","2018","11","01","10:00","2.0","","0.1","","87","","29","","10","","32.2","","97.08","","","","","","Mostly Cloudy"
"2018-11-01 11:00","2018","11","01","11:00","3.6","","0.8","","82","","31","","13","","32.2","","97.10","","","","","","NA"
"2018-11-01 12:00","2018","11","01","12:00","5.4","","-2.0","","59","","30","","13","","32.2","","97.00","","","","","","NA"
"2018-11-01 13:00","2018","11","01","13:00","5.3","","-2.5","","57","","30","","12","","32.2","","96.99","","","","","","Cloudy"
"2018-11-01 14:00","2018","11","01","14:00","5.1","","-3.1","","55","","32","","9","","32.2","","97.00","","","","","","NA"
"2018-11-01 15:00","2018","11","01","15:00","5.3","","-2.3","","58","","29","","7","","32.2","","96.98","","","","","","NA"
"2018-11-01 16:00","2018","11","01","16:00","4.8","","-1.2","","65","","2","","5","","32.2","","97.00","","","","","","Cloudy"
"2018-11-01 17:00","2018","11","01","17:00","3.7","","-1.2","","71","","3","","8","","32.2","","96.98","","","","","","NA"
"2018-11-01 18:00","2018","11","01","18:00","2.5","","-1.2","","77","","4","","8","","24.1","","96.97","","","","","","NA"
"2018-11-01 19:00","2018","11","01","19:00","1.9","","-0.6","","83","","4","","11","","24.1","","96.93","","","","","","Mostly Cloudy"
"2018-11-01 20:00","2018","11","01","20:00","1.7","","-0.6","","85","","3","","8","","24.1","","96.98","","","","","","NA"
"2018-11-01 21:00","2018","11","01","21:00","2.0","","-0.8","","82","","4","","14","","24.1","","97.01","","","","","","NA"
"2018-11-01 22:00","2018","11","01","22:00","2.3","","-1.0","","78","","2","","18","","24.1","","96.89","","","","","","Mostly Cloudy"
"2018-11-01 23:00","2018","11","01","23:00","2.0","","-1.1","","80","","3","","19","","24.1","","96.82","","","","","","NA"
"2018-11-02 00:00","2018","11","02","00:00","1.6","","-1.3","","81","","4","","21","","24.1","","96.82","","","","","","NA"
"2018-11-02 01:00","2018","11","02","01:00","0.9","","-1.2","","85","","5","","21","","24.1","","96.78","","","","","","Mostly Cloudy"
"2018-11-02 02:00","2018","11","02","02:00","0.9","","-0.8","","88","","3","","27","","24.1","","96.69","","","","","","NA"
"2018-11-02 03:00","2018","11","02","03:00","0.8","","-0.6","","91","","3","","28","","24.1","","96.65","","","","","","NA"
"2018-11-02 04:00","2018","11","02","04:00","1.0","","-0.5","","90","","2","","23","","24.1","","96.88","","","","","","Cloudy"
"2018-11-02 05:00","2018","11","02","05:00","1.0","","-0.6","","89","","3","","25","","24.1","","96.82","","","","","","NA"
"2018-11-02 06:00","2018","11","02","06:00","1.1","","-0.4","","90","","3","","28","","24.1","","96.81","","","","","","NA"
"2018-11-02 07:00","2018","11","02","07:00","0.8","","-0.8","","89","","3","","27","","32.2","","96.83","","","","","","Cloudy"
