"Station Name","THUNDER BAY A"
"Province","ONTARIO"
"Latitude","48.37"
"Longitude","-89.32"
"Elevation","199.30"
"Climate Identifier","6048262"
"WMO Identifier",""
"TC Identifier","YQT"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-06-01 00:00","2016","06","01","00:00","9.1","","7.7","","91","","8","","28","","24.1","","98.99","","","","","","Rain"
"2016-06-01 01:00","2016","06","01","01:00","9.1","","7.2","","88","","8","","16","","16.1","","98.98","","","","","","Rain"
"2016-06-01 02:00","2016","06","01","02:00","8.3","","7.4","","94","","6","","16","","16.1","","98.90","","","","","","Rain"
"2016-06-01 03:00","2016","06","01","03:00","8.5","","7.9","","96","","7","","12","","8.1","","98.82","","","","","","Rain,Fog"
"2016-06-01 04:00","2016","06","01","04:00","9.0","","8.6","","97","","7","","18","","8.1","","98.77","","","","","","Rain,Fog"
"2016-06-01 05:00","2016","06","01","05:00","8.8","","8.5","","98","","8","","22","","4.8","","98.72","","","","","","Rain,Fog"
"2016-06-01 06:00","2016","06","01","06:00","8.6","","8.3","","98","","8","","19","","8.1","","98.69","","","","","","Rain,Fog"
"2016-06-01 07:00","2016","06","01","07:00","8.7","","8.4","","98","","7","","16","","4.8","","98.67","","","","","","Fog"
"2016-06-01 08:00","2016","06","01","08:00","8.9","","8.6","","98","","7","","13","","4.8","","98.64","","","","","","Drizzle,Fog"
"2016-06-01 09:00","2016","06","01","09:00","8.9","","8.6","","98","","7","","12","","3.2","","98.63","","","","","","Fog"
"2016-06-01 10:00","2016","06","01","10:00","9.8","","9.5","","98","","9","","17","","2.0","","98.60","","","","","","Fog"
"2016-06-01 11:00","2016","06","01","11:00","10.2","","9.9","","98","","8","","17","","2.4","","98.56","","","","","","Fog"
"2016-06-01 12:00","2016","06","01","12:00","11.6","","11.0","","96","","8","","16","","4.8","","98.54","","","","","","Fog"
"2016-06-01 13:00","2016","06","01","13:00","12.9","","11.3","","90","","7","","17","","9.7","","98.49","","","","","","Fog"
"2016-06-01 14:00","2016","06","01","14:00","12.9","","11.7","","92","","7","","19","","9.7","","98.46","","","","","","Fog"
"2016-06-01 15:00","2016","06","01","15:00","13.9","","12.1","","89","","7","","18","","16.1","","98.42","","","","","","NA"
"2016-06-01 16:00","2016","06","01","16:00","14.7","","11.9","","83","","8","","23","","16.1","","98.37","","","","","","Mostly Cloudy"
"2016-06-01 17:00","2016","06","01","17:00","13.2","","10.9","","86","","8","","30","","24.1","","98.32","","","","","","NA"
"2016-06-01 18:00","2016","06","01","18:00","14.2","","10.7","","79","","6","","23","","32.2","","98.31","","","","","","NA"
"2016-06-01 19:00","2016","06","01","19:00","11.9","","9.3","","84","","4","","12","","32.2","","98.31","","","","","","Mostly Cloudy"
"2016-06-01 20:00","2016","06","01","20:00","10.5","","8.8","","89","","5","","9","","32.2","","98.35","","","","","","NA"
"2016-06-01 21:00","2016","06","01","21:00","10.0","","8.8","","92","","4","","11","","32.2","","98.36","","","","","","NA"
"2016-06-01 22:00","2016","06","01","22:00","10.2","","9.1","","93","","2","","11","","24.1","","98.39","","","","","","Rain Showers"
"2016-06-01 23:00","2016","06","01","23:00","9.7","","9.3","","97","","5","","8","","24.1","","98.36","","","","","","NA"
"2016-06-02 00:00","2016","06","02","00:00","9.1","","8.8","","98","","2","","3","","24.1","","98.34","","","","","","NA"
"2016-06-02 01:00","2016","06","02","01:00","8.5","","8.2","","98","","6","","5","","24.1","","98.33","","","","","","Mostly Cloudy"
"2016-06-02 02:00","2016","06","02","02:00","8.4","","8.1","","98","","29","","3","","24.1","","98.32","","","","","","NA"
"2016-06-02 03:00","2016","06","02","03:00","7.4","","7.3","","99","","36","","3","","8.1","","98.34","","","","","","Fog"
"2016-06-02 04:00","2016","06","02","04:00","7.6","","7.5","","99","","29","","7","","8.1","","98.36","","","","","","Fog"
"2016-06-02 05:00","2016","06","02","05:00","8.1","","8.0","","99","","32","","5","","32.2","","98.41","","","","","","NA"
"2016-06-02 06:00","2016","06","02","06:00","11.3","","11.0","","98","","24","","13","","32.2","","98.49","","","","","","NA"
"2016-06-02 07:00","2016","06","02","07:00","13.2","","11.8","","91","","26","","14","","32.2","","98.57","","","","","","Mostly Cloudy"
"2016-06-02 08:00","2016","06","02","08:00","13.6","","11.2","","85","","30","","19","","32.2","","98.65","","","","","","Rain Showers"
"2016-06-02 09:00","2016","06","02","09:00","15.8","","10.2","","69","","32","","26","","32.2","","98.72","","","","","","NA"
"2016-06-02 10:00","2016","06","02","10:00","15.5","","9.5","","67","","29","","24","","32.2","","98.81","","","","","","Mostly Cloudy"
"2016-06-02 11:00","2016","06","02","11:00","16.7","","9.2","","61","","30","","23","","32.2","","98.82","","","","","","NA"
"2016-06-02 12:00","2016","06","02","12:00","17.0","","9.0","","59","","29","","23","","32.2","","98.90","","","","","","NA"
"2016-06-02 13:00","2016","06","02","13:00","18.5","","9.4","","55","","30","","22","","32.2","","98.91","","","","","","Mostly Cloudy"
"2016-06-02 14:00","2016","06","02","14:00","18.1","","9.3","","56","","31","","28","","32.2","","98.93","","","","","","NA"
"2016-06-02 15:00","2016","06","02","15:00","18.6","","9.2","","54","","29","","21","","32.2","","98.95","","","","","","NA"
"2016-06-02 16:00","2016","06","02","16:00","18.5","","8.9","","53","","30","","21","","32.2","","98.97","","","","","","Cloudy"
"2016-06-02 17:00","2016","06","02","17:00","17.5","","8.2","","54","","29","","17","","32.2","","99.01","","","","","","NA"
"2016-06-02 18:00","2016","06","02","18:00","17.0","","8.8","","58","","29","","14","","32.2","","99.07","","","","","","NA"
"2016-06-02 19:00","2016","06","02","19:00","16.6","","9.1","","61","","29","","7","","32.2","","99.07","","","","","","Cloudy"
"2016-06-02 20:00","2016","06","02","20:00","16.1","","9.6","","65","","29","","5","","32.2","","99.12","","","","","","NA"
"2016-06-02 21:00","2016","06","02","21:00","15.3","","9.7","","69","","31","","5","","32.2","","99.15","","","","","","NA"
"2016-06-02 22:00","2016","06","02","22:00","14.6","","9.5","","71","","36","","7","","24.1","","99.22","","","","","","Cloudy"
"2016-06-02 23:00","2016","06","02","23:00","14.1","","9.4","","73","","3","","3","","24.1","","99.25","","","","","","NA"
"2016-06-03 00:00","2016","06","03","00:00","13.5","","9.6","","77","","35","","5","","24.1","","99.27","","","","","","NA"
"2016-06-03 01:00","2016","06","03","01:00","12.1","","9.2","","82","","7","","7","","24.1","","99.29","","","","","","Cloudy"
"2016-06-03 02:00","2016","06","03","02:00","11.6","","9.4","","86","","2","","3","","24.1","","99.28","","","","","","NA"
"2016-06-03 03:00","2016","06","03","03:00","11.0","","9.6","","91","","9","","9","","24.1","","99.25","","","","","","NA"
"2016-06-03 04:00","2016","06","03","04:00","11.1","","9.2","","88","","8","","4","","24.1","","99.31","","","","","","Cloudy"
"2016-06-03 05:00","2016","06","03","05:00","9.1","","8.2","","94","","6","","7","","32.2","","99.30","","","","","","NA"
