"Station Name","THUNDER BAY A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","48.37"
"Longitude","-89.32"
"Elevation","199.30"
"Climate Identifier","6048262"
"WMO Identifier",""
"TC Identifier","YQT"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-06-01 00:00","2018","06","01","00:00","7.7","","4.6","","80","","2","","16","","24.1","","99.13","","","","","","NA"
"2018-06-01 01:00","2018","06","01","01:00","7.3","","4.3","","81","","36","","13","","24.1","","99.21","","","","","","Cloudy"
"2018-06-01 02:00","2018","06","01","02:00","6.6","","3.7","","82","","2","","5","","24.1","","99.30","","","","","","NA"
"2018-06-01 03:00","2018","06","01","03:00","6.2","","3.5","","83","","3","","8","","24.1","","99.33","","","","","","NA"
"2018-06-01 04:00","2018","06","01","04:00","5.7","","2.8","","81","","5","","15","","24.1","","99.42","","","","","","Cloudy"
"2018-06-01 05:00","2018","06","01","05:00","5.4","","2.6","","82","","3","","12","","24.1","","99.46","","","","","","NA"
"2018-06-01 06:00","2018","06","01","06:00","5.0","","2.2","","82","","2","","10","","32.2","","99.54","","","","","","NA"
"2018-06-01 07:00","2018","06","01","07:00","5.0","","2.0","","81","","2","","15","","32.2","","99.63","","","","","","Cloudy"
"2018-06-01 08:00","2018","06","01","08:00","5.0","","2.9","","86","","4","","13","","32.2","","99.63","","","","","","NA"
"2018-06-01 09:00","2018","06","01","09:00","5.1","","2.7","","84","","3","","10","","24.1","","99.74","","","","","","Rain"
"2018-06-01 10:00","2018","06","01","10:00","6.1","","3.1","","81","","4","","12","","19.3","","99.81","","","","","","Cloudy"
"2018-06-01 11:00","2018","06","01","11:00","5.9","","4.8","","93","","6","","3","","12.9","","99.86","","","","","","Drizzle,Fog"
"2018-06-01 12:00","2018","06","01","12:00","6.3","","5.4","","94","","2","","9","","4.8","","99.88","","","","","","Rain,Fog"
"2018-06-01 13:00","2018","06","01","13:00","7.4","","6.1","","91","","1","","5","","32.2","","99.88","","","","","","Rain"
"2018-06-01 14:00","2018","06","01","14:00","10.2","","5.1","","71","","7","","12","","32.2","","99.87","","","","","","NA"
"2018-06-01 15:00","2018","06","01","15:00","11.7","","5.0","","64","","8","","16","","32.2","","99.83","","","","","","NA"
