"Station Name","TORONTO CITY"
"Province","ONTARIO"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158355"
"WMO Identifier","71508"
"TC Identifier","XTO"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-12-01 00:00","2016","12","01","00:00","9.1","","7.6","","90","","","M","","M","","","98.40","","","","","","NA"
"2016-12-01 01:00","2016","12","01","01:00","8.4","","6.8","","90","","","M","","M","","","98.44","","","","","","NA"
"2016-12-01 02:00","2016","12","01","02:00","7.3","","5.4","","88","","","M","","M","","","98.50","","","","","","NA"
"2016-12-01 03:00","2016","12","01","03:00","5.4","","1.3","","75","","","M","","M","","","98.62","","","","","","NA"
"2016-12-01 04:00","2016","12","01","04:00","4.9","","0.8","","75","","","M","","M","","","98.66","","","","","","NA"
"2016-12-01 05:00","2016","12","01","05:00","5.0","","0.5","","73","","","M","","M","","","98.71","","","","","","NA"
"2016-12-01 06:00","2016","12","01","06:00","5.7","","0.8","","71","","","M","","M","","","98.79","","","","","","NA"
"2016-12-01 07:00","2016","12","01","07:00","5.7","","1.1","","73","","","M","","M","","","98.84","","","","","","NA"
"2016-12-01 08:00","2016","12","01","08:00","5.7","","0.1","","67","","","M","","M","","","98.86","","","","","","NA"
"2016-12-01 09:00","2016","12","01","09:00","5.4","","0.8","","72","","","M","","M","","","98.91","","","","","","NA"
"2016-12-01 10:00","2016","12","01","10:00","5.2","","0.8","","73","","","M","","M","","","98.94","","","","","","NA"
"2016-12-01 11:00","2016","12","01","11:00","5.5","","0.0","","68","","","M","","M","","","98.94","","","","","","NA"
"2016-12-01 12:00","2016","12","01","12:00","6.5","","0.2","","64","","","M","","M","","","98.93","","","","","","NA"
"2016-12-01 13:00","2016","12","01","13:00","6.0","","0.2","","66","","","M","","M","","","98.95","","","","","","NA"
"2016-12-01 14:00","2016","12","01","14:00","6.2","","0.4","","67","","","M","","M","","","98.99","","","","","","NA"
"2016-12-01 15:00","2016","12","01","15:00","6.3","","0.0","","64","","","M","","M","","","99.03","","","","","","NA"
"2016-12-01 16:00","2016","12","01","16:00","5.9","","0.3","","67","","","M","","M","","","99.11","","","","","","NA"
"2016-12-01 17:00","2016","12","01","17:00","5.8","","0.4","","68","","","M","","M","","","99.14","","","","","","NA"
"2016-12-01 18:00","2016","12","01","18:00","5.7","","0.3","","69","","","M","","M","","","99.18","","","","","","NA"
"2016-12-01 19:00","2016","12","01","19:00","6.0","","0.6","","68","","","M","","M","","","99.23","","","","","","NA"
"2016-12-01 20:00","2016","12","01","20:00","5.8","","1.0","","71","","","M","","M","","","99.24","","","","","","NA"
"2016-12-01 21:00","2016","12","01","21:00","5.7","","1.1","","73","","","M","","M","","","99.25","","","","","","NA"
"2016-12-01 22:00","2016","12","01","22:00","6.0","","1.1","","71","","","M","","M","","","99.25","","","","","","NA"
"2016-12-01 23:00","2016","12","01","23:00","5.8","","1.5","","74","","","M","","M","","","99.29","","","","","","NA"
"2016-12-02 00:00","2016","12","02","00:00","5.7","","1.6","","75","","","M","","M","","","99.28","","","","","","NA"
