"Station Name","KITCHENER/WATERLOO"
"Province","ONTARIO"
"Latitude","43.46"
"Longitude","-80.38"
"Elevation","321.60"
"Climate Identifier","6144239"
"WMO Identifier","71368"
"TC Identifier","YKF"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-07-01 00:00","2016","07","01","00:00","14.9","","7.8","","62","","14","","5","","16.1","","97.61","","","","","","NA"
"2016-07-01 01:00","2016","07","01","01:00","12.6","","8.0","","74","","15","","4","","16.1","","97.57","","","","","","NA"
"2016-07-01 02:00","2016","07","01","02:00","12.6","","8.1","","74","","14","","4","","12.9","","97.52","","","","","","NA"
"2016-07-01 03:00","2016","07","01","03:00","13.9","","8.7","","71","","12","","4","","16.1","","97.45","","","","","","NA"
"2016-07-01 04:00","2016","07","01","04:00","12.7","","8.8","","77","","9","","4","","16.1","","97.42","","","","","","NA"
"2016-07-01 05:00","2016","07","01","05:00","12.3","","9.3","","82","","8","","5","","16.1","","97.36","","","","","","NA"
"2016-07-01 06:00","2016","07","01","06:00","14.1","","11.3","","83","","6","","4","","16.1","","97.34","","","","","","NA"
"2016-07-01 07:00","2016","07","01","07:00","15.1","","13.2","","88","","24","","21","","11.3","","97.44","","","","","","Moderate Rain"
"2016-07-01 08:00","2016","07","01","08:00","15.4","","14.0","","91","","26","","22","","12.9","","97.45","","","","","","Rain"
"2016-07-01 09:00","2016","07","01","09:00","16.4","","14.6","","89","","22","","9","","16.1","","97.33","","","","","","NA"
"2016-07-01 10:00","2016","07","01","10:00","17.7","","14.5","","81","","20","","21","","16.1","","97.29","","","","","","NA"
"2016-07-01 11:00","2016","07","01","11:00","19.2","","14.6","","75","","23","","28","","16.1","","97.26","","","","","","NA"
"2016-07-01 12:00","2016","07","01","12:00","21.8","","15.5","","67","","25","","22","","16.1","","97.24","","26","","","","NA"
"2016-07-01 13:00","2016","07","01","13:00","20.4","","16.3","","77","","26","","30","","16.1","","97.23","","25","","","","NA"
"2016-07-01 14:00","2016","07","01","14:00","22.0","","12.1","","53","","28","","32","","16.1","","97.28","","","","","","NA"
"2016-07-01 15:00","2016","07","01","15:00","21.0","","11.9","","56","","31","","32","","16.1","","97.34","","","","","","NA"
"2016-07-01 16:00","2016","07","01","16:00","17.9","","12.2","","69","","30","","32","","16.1","","97.47","","","","","","NA"
"2016-07-01 17:00","2016","07","01","17:00","16.8","","12.5","","75","","29","","35","","16.1","","97.55","","","","","","NA"
"2016-07-01 18:00","2016","07","01","18:00","16.3","","11.6","","73","","30","","32","","16.1","","97.62","","","","","","NA"
"2016-07-01 19:00","2016","07","01","19:00","15.9","","10.9","","72","","32","","28","","16.1","","97.68","","","","","","NA"
"2016-07-01 20:00","2016","07","01","20:00","14.2","","10.5","","78","","31","","18","","16.1","","97.71","","","","","","NA"
"2016-07-01 21:00","2016","07","01","21:00","13.1","","9.2","","77","","30","","15","","16.1","","97.78","","","","","","NA"
"2016-07-01 22:00","2016","07","01","22:00","12.4","","9.1","","80","","30","","17","","16.1","","97.83","","","","","","NA"
"2016-07-01 23:00","2016","07","01","23:00","12.2","","8.9","","80","","27","","15","","16.1","","97.88","","","","","","NA"
"2016-07-02 00:00","2016","07","02","00:00","11.2","","8.6","","84","","28","","13","","16.1","","97.90","","","","","","NA"
"2016-07-02 01:00","2016","07","02","01:00","10.4","","8.5","","88","","29","","11","","16.1","","97.91","","","","","","NA"
"2016-07-02 02:00","2016","07","02","02:00","10.6","","8.5","","87","","29","","15","","16.1","","97.95","","","","","","NA"
"2016-07-02 03:00","2016","07","02","03:00","9.9","","8.2","","89","","29","","9","","16.1","","97.96","","","","","","NA"
"2016-07-02 04:00","2016","07","02","04:00","9.6","","7.7","","88","","30","","11","","16.1","","97.97","","","","","","NA"
"2016-07-02 05:00","2016","07","02","05:00","9.3","","7.6","","89","","30","","9","","16.1","","98.02","","","","","","NA"
"2016-07-02 06:00","2016","07","02","06:00","12.5","","9.3","","81","","28","","11","","16.1","","98.08","","","","","","NA"
"2016-07-02 07:00","2016","07","02","07:00","16.0","","10.0","","67","","27","","17","","16.1","","98.09","","","","","","NA"
"2016-07-02 08:00","2016","07","02","08:00","18.0","","10.4","","61","","28","","22","","16.1","","98.10","","","","","","NA"
"2016-07-02 09:00","2016","07","02","09:00","20.0","","10.6","","54","","30","","21","","16.1","","98.11","","","","","","NA"
"2016-07-02 10:00","2016","07","02","10:00","21.2","","10.4","","50","","31","","18","","16.1","","98.11","","","","","","NA"
"2016-07-02 11:00","2016","07","02","11:00","22.4","","9.7","","44","","30","","24","","16.1","","98.09","","","","","","NA"
"2016-07-02 12:00","2016","07","02","12:00","23.3","","9.9","","42","","29","","24","","16.1","","98.09","","25","","","","NA"
"2016-07-02 13:00","2016","07","02","13:00","22.9","","9.1","","41","","30","","21","","16.1","","98.07","","","","","","NA"
"2016-07-02 14:00","2016","07","02","14:00","23.4","","7.9","","37","","29","","22","","16.1","","98.05","","","","","","NA"
"2016-07-02 15:00","2016","07","02","15:00","24.6","","7.9","","34","","27","","32","","16.1","","98.03","","25","","","","NA"
"2016-07-02 16:00","2016","07","02","16:00","23.9","","7.0","","33","","27","","30","","16.1","","98.05","","","","","","NA"
"2016-07-02 17:00","2016","07","02","17:00","23.7","","7.0","","34","","27","","28","","16.1","","98.06","","","","","","NA"
"2016-07-02 18:00","2016","07","02","18:00","22.7","","6.7","","35","","26","","26","","16.1","","98.05","","","","","","NA"
"2016-07-02 19:00","2016","07","02","19:00","20.8","","6.7","","40","","27","","17","","16.1","","98.08","","","","","","NA"
"2016-07-02 20:00","2016","07","02","20:00","19.1","","6.5","","43","","27","","17","","16.1","","98.07","","","","","","NA"
"2016-07-02 21:00","2016","07","02","21:00","17.7","","8.0","","53","","26","","5","","16.1","","98.11","","","","","","NA"
"2016-07-02 22:00","2016","07","02","22:00","17.1","","8.4","","56","","","M","4","","16.1","","98.11","","","","","","NA"
"2016-07-02 23:00","2016","07","02","23:00","15.8","","8.8","","63","","22","","5","","16.1","","98.11","","","","","","NA"
"2016-07-03 00:00","2016","07","03","00:00","16.4","","10.6","","68","","27","","11","","16.1","","98.14","","","","","","NA"
"2016-07-03 01:00","2016","07","03","01:00","13.2","","10.0","","81","","32","","5","","16.1","","98.15","","","","","","NA"
"2016-07-03 02:00","2016","07","03","02:00","11.4","","9.0","","85","","","","0","","14.5","","98.13","","","","","","NA"
